"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"5252";"José Sarney";"PMDB";"P-NRV"
"5252";"Epitácio Cafeteira";"PTB";"Não"
"5252";"José Agripino";"DEM";"Sim"
"5252";"Renan Calheiros";"PMDB";"NCom"
"5252";"Jader Barbalho";"PMDB";"Sim"
"5252";"Pedro Simon";"PMDB";"Sim"
"5252";"Paulo Paim";"PT";"Não"
"5252";"Romero Jucá";"PMDB";"P-NRV"
"5252";"Eduardo Suplicy";"PT";"Não"
"5252";"Eunício Oliveira";"PMDB";"Não"
"5252";"Armando Monteiro";"PTB";"P-NRV"
"5252";"Aécio Neves";"PSDB";"Sim"
"5252";"Vanessa Grazziotin";"PCdoB";"Não"
"5252";"Inácio Arruda";"PCdoB";"Não"
"5252";"José Pimentel";"PT";"Não"
"5252";"Lúcia Vânia";"PSDB";"Sim"
"5252";"Ciro Nogueira";"PP";"Sim"
"5252";"Casildo Maldaner";"PMDB";"Sim"
"5252";"Roberto Requião";"PMDB";"MIS"
"5252";"Walter Pinheiro";"PT";"Não"
"5252";"Ricardo Ferraço";"PMDB";"Sim"
"5252";"João Alberto Souza";"PMDB";"P-NRV"
"5252";"Alvaro Dias";"PSDB";"Sim"
"5252";"Maria do Carmo Alves";"DEM";"P-NRV"
"5252";"Francisco Dornelles";"PP";"Sim"
"5252";"Antonio Carlos Valadares";"PSB";"Sim"
"5252";"Magno Malta";"PR";"AP "
"5252";"Waldemir Moka";"PMDB";"Sim"
"5252";"Kátia Abreu";"PMDB";"P-NRV"
"5252";"Gim";"PTB";"Sim"
"5252";"Lindbergh Farias";"PT";"Não"
"5252";"Paulo Bauer";"PSDB";"Sim"
"5252";"Aloysio Nunes Ferreira";"PSDB";"Sim"
"5252";"João Capiberibe";"PSB";"Abstenção"
"5252";"Valdir Raupp";"PMDB";"P-NRV"
"5252";"Marcelo Crivella";"PRB";"AP "
"5252";"Delcídio do Amaral";"PT";"P-NRV"
"5252";"Vicentinho Alves";"SDD";"Sim"
"5252";"Benedito de Lira";"PP";"Sim"
"5252";"Cristovam Buarque";"PDT";"AP "
"5252";"Mozarildo Cavalcanti";"PTB";"Não"
"5252";"Flexa Ribeiro";"PSDB";"Presidente (art. 51 RISF)"
"5252";"Fernando Collor";"PTB";"Sim"
"5252";"Alfredo Nascimento";"PR";"P-NRV"
"5252";"Cícero Lucena";"PSDB";"Sim"
"5252";"Jayme Campos";"DEM";"P-NRV"
"5252";"João Durval";"PDT";"Não"
"5252";"Mário Couto";"PSDB";"Sim"
"5252";"João Vicente Claudino";"PTB";"Sim"
"5252";"Jarbas Vasconcelos";"PMDB";"P-NRV"
"5252";"Sérgio Petecão";"PSD";"Sim"
"5252";"Lídice da Mata";"PSB";"LS "
"5252";"Rodrigo Rollemberg";"PSB";"Não"
"5252";"Vital do Rêgo";"PMDB";"P-NRV"
"5252";"Angela Portela";"PT";"Não"
"5252";"Eduardo Amorim";"PSC";"Sim"
"5252";"Anibal Diniz";"PT";"P-NRV"
"5252";"Ana Rita";"PT";"Não"
"5252";"Cyro Miranda";"PSDB";"Sim"
"5252";"Cidinho Santos";"PR";"Sim"
"5252";"Zeze Perrella";"PDT";"P-NRV"
"5252";"Ataídes Oliveira";"PROS";"P-NRV"
"5252";"Lobão Filho";"PMDB";"P-NRV"
"5252";"Ivonete Dantas";"PMDB";"Não"
"5252";"Clésio Andrade";"PMDB";"P-NRV"
"5252";"Luiz Henrique";"PMDB";"Sim"
"5252";"Ivo Cassol";"PP";"Não"
"5252";"Gleisi Hoffmann";"PT";"Não"
"5252";"Humberto Costa";"PT";"Não"
"5252";"Pedro Taques";"PDT";"Sim"
"5252";"Randolfe Rodrigues";"PSOL";"Sim"
"5252";"Jorge Viana";"PT";"Não"
"5252";"Eduardo Braga";"PMDB";"Não"
"5252";"Paulo Davim";"PV";"P-NRV"
"5252";"Cássio Cunha Lima";"PSDB";"Sim"
"5252";"Acir Gurgacz";"PDT";"Não"
"5252";"Wellington Dias";"PT";"Não"
"5252";"Ana Amélia";"PP";"Sim"
"5252";"Ruben Figueiró";"PSDB";"Sim"
"5252";"Wilder Morais";"DEM";"NCom"
"5252";"Antonio Carlos Rodrigues";"PR";"Não"
"5251";"José Sarney";"PMDB";"P-NRV"
"5251";"Epitácio Cafeteira";"PTB";"Sim"
"5251";"José Agripino";"DEM";"Sim"
"5251";"Renan Calheiros";"PMDB";"Presidente (art. 51 RISF)"
"5251";"Jader Barbalho";"PMDB";"Sim"
"5251";"Pedro Simon";"PMDB";"Sim"
"5251";"Paulo Paim";"PT";"Sim"
"5251";"Romero Jucá";"PMDB";"Sim"
"5251";"Eduardo Suplicy";"PT";"Sim"
"5251";"Eunício Oliveira";"PMDB";"Sim"
"5251";"Armando Monteiro";"PTB";"Sim"
"5251";"Aécio Neves";"PSDB";"Sim"
"5251";"Vanessa Grazziotin";"PCdoB";"Sim"
"5251";"Inácio Arruda";"PCdoB";"Sim"
"5251";"José Pimentel";"PT";"Sim"
"5251";"Lúcia Vânia";"PSDB";"Sim"
"5251";"Ciro Nogueira";"PP";"P-NRV"
"5251";"Casildo Maldaner";"PMDB";"Sim"
"5251";"Roberto Requião";"PMDB";"MIS"
"5251";"Walter Pinheiro";"PT";"Sim"
"5251";"Ricardo Ferraço";"PMDB";"Sim"
"5251";"João Alberto Souza";"PMDB";"P-NRV"
"5251";"Alvaro Dias";"PSDB";"Sim"
"5251";"Maria do Carmo Alves";"DEM";"P-NRV"
"5251";"Francisco Dornelles";"PP";"Sim"
"5251";"Antonio Carlos Valadares";"PSB";"Sim"
"5251";"Magno Malta";"PR";"AP "
"5251";"Waldemir Moka";"PMDB";"Sim"
"5251";"Kátia Abreu";"PMDB";"Sim"
"5251";"Gim";"PTB";"Sim"
"5251";"Lindbergh Farias";"PT";"Sim"
"5251";"Paulo Bauer";"PSDB";"Sim"
"5251";"Aloysio Nunes Ferreira";"PSDB";"Sim"
"5251";"João Capiberibe";"PSB";"Sim"
"5251";"Valdir Raupp";"PMDB";"Sim"
"5251";"Marcelo Crivella";"PRB";"AP "
"5251";"Delcídio do Amaral";"PT";"Sim"
"5251";"Vicentinho Alves";"SDD";"Sim"
"5251";"Benedito de Lira";"PP";"Sim"
"5251";"Cristovam Buarque";"PDT";"AP "
"5251";"Mozarildo Cavalcanti";"PTB";"Sim"
"5251";"Flexa Ribeiro";"PSDB";"Sim"
"5251";"Fernando Collor";"PTB";"Sim"
"5251";"Alfredo Nascimento";"PR";"Sim"
"5251";"Cícero Lucena";"PSDB";"Sim"
"5251";"Jayme Campos";"DEM";"Abstenção"
"5251";"João Durval";"PDT";"Sim"
"5251";"Mário Couto";"PSDB";"Não"
"5251";"João Vicente Claudino";"PTB";"Sim"
"5251";"Jarbas Vasconcelos";"PMDB";"Sim"
"5251";"Sérgio Petecão";"PSD";"P-NRV"
"5251";"Lídice da Mata";"PSB";"LS "
"5251";"Rodrigo Rollemberg";"PSB";"Sim"
"5251";"Vital do Rêgo";"PMDB";"Sim"
"5251";"Angela Portela";"PT";"Sim"
"5251";"Eduardo Amorim";"PSC";"Sim"
"5251";"Anibal Diniz";"PT";"Sim"
"5251";"Ana Rita";"PT";"Sim"
"5251";"Cyro Miranda";"PSDB";"Sim"
"5251";"Cidinho Santos";"PR";"Sim"
"5251";"Zeze Perrella";"PDT";"P-NRV"
"5251";"Ataídes Oliveira";"PROS";"P-NRV"
"5251";"Lobão Filho";"PMDB";"P-NRV"
"5251";"Ivonete Dantas";"PMDB";"Sim"
