"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM";;;;;;;;;;
"S11001";110208;"01:00:00";"Sim";"PLV";15;2010;"Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2010, com o objetivo de fomentar as exportações do País; altera as Leis nºs 12.087, de 11 de novembro de 2009, 10.260, de 12 de julho de 2001, 10.406, de 10 de janeiro de 2002 - Código Civil Brasileiro, 8.685, de 20 de julho de 1993, 11.941, de 27 de maio de 2009...";"Votação do art. 10 do PLV nº 15";" de 2010(MP 501/2010).";"Auxílio a Estados e municípios para fomentar exportações";;;;;;;;;
"S11002";110223;"02:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 1";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11003";110223;"03:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 3";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11004";110223;"04:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 5";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11005";110301;"05:00:00";"Sim";"PLV";2;2011;"Ratifica o Protocolo de Intenções firmado entre a União";" o Estado do Rio de Janeiro e o Município do Rio de Janeiro";" com a finalidade de constituir consórcio público";" denominado Autoridade Pública Olímpica - APO.";"Votação dos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da Medida Provisória nº 503";" de 2010 (verificação).";"Autoridade Pública Olímpica";;;;;
"S11006";110301;"06:00:00";"Sim";"PLV";2;2011;"Ratifica o Protocolo de Intenções firmado entre a União";" o Estado do Rio de Janeiro e o Município do Rio de Janeiro";" com a finalidade de constituir consórcio público";" denominado Autoridade Pública Olímpica - APO.";"Votação do Projeto de Lei de Conversão nº 2";" de 2011 -MP 503/2010- ( Verificação)";"Autoridade Pública Olímpica";;;;;;
"S11007";110301;"07:00:00";"Sim";"PLV";3;2011;"Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES; e altera a Relação Descritiva constante do Anexo da Lei nº 5.917, de 10 de setembro de 1973.";"Votação do Projeto de Lei de Conversão nº 3";" de 2011 -MP 505/2010- ( Verificação)";"Recursos para o BNDES";;;;;;;;;
"S11008";110405;"08:00:00";"Sim";"PLV";6;2011;"Regula o cumprimento de obrigações tributárias por consórcios que realizarem contratações de pessoas jurídicas e físicas ; acresce dispositivos à Lei nº 10.168, de 29 de dezembro de 2000, que institui contribuição de intervenção...";"Votação dos pressupostos de relevância e urgência e adequação financeira e orçamentária da MP nº 510";" de 2010 (verificação)";"Obrigações tributárias de consórcios";;;;;;;;;
"S11009";110413;"09:00:00";"Sim";"PLV";7;2011;"Autoriza a criação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV; estabelece medidas voltadas a assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social – BNDES...";"Votação quanto aos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da Medida Provisória nº 511";" de 2010.";"Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas";;;;;;;;
"S11010";110413;"10:00:00";"Sim";"PLV";7;2011;"Autoriza a criação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV; estabelece medidas voltadas a assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social – BNDES...";"Votação do PLV 7";" de 2011";"Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas";;;;;;;;;
"S11011";110524;"11:00:00";"Sim";"MPV";515;2010;"Abre crédito extraordinário em favor da Justiça do Trabalho e de diversos órgãos do Poder Executivo";" no valor global de R$ 26.673.264.196";0;" para os fins que especifica.";"Votação da Medida Provisória nº 515";" de 2010";"Crédito de R$26 milhões para Justiça do Trabalho e outros";;;;;;
