"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"GEORGE HILTON";"GEORGE HILTON";"PRB";"MG";"525638";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141441.jpg"
"ALESSANDRO MOLON";"ALESSANDRO MOLON";"PT";"RJ";"530130";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160511.jpg"
"FERNANDO TORRES";"FERNANDO TORRES";"PSD";"BA";"530028";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160676.jpg"
"TAUMATURGO LIMA";"TAUMATURGO LIMA";"PT";"AC";"530000";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160679.jpg"
"SANDRO ALEX";"SANDRO ALEX";"PPS";"PR";"530122";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160621.jpg"
"EDSON PIMENTA";"EDSON PIMENTA";"PSD";"BA";"530032";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160618.jpg"
"EDMAR ARRUDA";"EDMAR ARRUDA";"PSC";"PR";"530119";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160578.jpg"
"ROBERTO FREIRE";"ROBERTO FREIRE";"PPS";"SP";"530195";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73805.jpg"
"ROBERTO SANTIAGO";"ROBERTO SANTIAGO";"PSD";"SP";"528650";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141473.jpg"
"AUREO";"AUREO";"SD";"RJ";"530141";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160512.jpg"
"VITOR PENIDO";"VITOR PENIDO";"DEM";"MG";"531196";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141557.jpg"
"ROBERTO DE LUCENA";"ROBERTO DE LUCENA";"PV";"SP";"530205";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160653.jpg"
"NILTON CAPIXABA";"NILTON CAPIXABA";"PTB";"RO";"530151";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74359.jpg"
"HENRIQUE EDUARDO ALVES";"HENRIQUE EDUARDO ALVES";"PMDB";"RN";"522840";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74324.jpg"
"RICARDO IZAR";"RICARDO IZAR";"PSD";"SP";"530206";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160655.jpg"
"EDUARDO DA FONTE";"EDUARDO DA FONTE";"PP";"PE";"526389";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141421.jpg"
"GERALDO THADEU";"GERALDO THADEU";"PSD";"MG";"521216";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74151.jpg"
"VIEIRA DA CUNHA";"VIEIRA DA CUNHA";"PDT";"RS";"527766";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141400.jpg"
"ALFREDO SIRKIS";"ALFREDO SIRKIS";"PSB";"RJ";"530143";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/116663.jpg"
"SILVIO TORRES";"SILVIO TORRES";"PSDB";"SP";"533310";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73560.jpg"
"AGUINALDO RIBEIRO";"AGUINALDO RIBEIRO";"PP";"PB";"530093";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160527.jpg"
"GUILHERME CAMPOS";"GUILHERME CAMPOS";"PSD";"SP";"528487";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141447.jpg"
"DOMINGOS DUTRA";"DOMINGOS DUTRA";"SD";"MA";"525386";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74197.jpg"
"ANGELO VANHONI";"ANGELO VANHONI";"PT";"PR";"526612";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141381.jpg"
"ANDRE VARGAS";"ANDRE VARGAS";"PT";"PR";"526610";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141378.jpg"
"EDSON SANTOS";"EDSON SANTOS";"PT";"RJ";"527013";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141419.jpg"
"PEDRO FERNANDES";"PEDRO FERNANDES";"PTB";"MA";"520935";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74449.jpg"
"CARLOS ZARATTINI";"CARLOS ZARATTINI";"PT";"SP";"528288";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141398.jpg"
"EMANUEL FERNANDES";"EMANUEL FERNANDES";"PSDB";"SP";"528412";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74119.jpg"
"FRANCISCO FLORIANO";"FRANCISCO FLORIANO";"PR";"RJ";"530139";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160677.jpg"
"FLAVIANO MELO";"FLAVIANO MELO";"PMDB";"AC";"524512";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141434.jpg"
"ANTONIO IMBASSAHY";"ANTONIO IMBASSAHY";"PSDB";"BA";"530031";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160530.jpg"
"MAURO MARIANI";"MAURO MARIANI";"PMDB";"SC";"528067";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141507.jpg"
"EDUARDO GOMES";"EDUARDO GOMES";"SD";"TO";"524218";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73945.jpg"
"DILCEU SPERAFICO";"DILCEU SPERAFICO";"PP";"PR";"522042";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73768.jpg"
"ANTHONY GAROTINHO";"ANTHONY GAROTINHO";"PR";"RJ";"530137";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160539.jpg"
"MARLLOS SAMPAIO";"MARLLOS SAMPAIO";"PMDB";"PI";"530114";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/121759.jpg"
"MIRIQUINHO BATISTA";"MIRIQUINHO BATISTA";"PT";"PA";"530089";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160644.jpg"
"RODRIGO BETHLEM";"RODRIGO BETHLEM";"PMDB";"RJ";"527425";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/152865.jpg"
"ROSINHA DA ADEFAL";"ROSINHA DA ADEFAL";"PTdoB";"AL";"530009";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/146949.jpg"
"LUIZ DE DEUS";"LUIZ DE DEUS";"DEM";"BA";"5829183";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/171618.jpg"
"GORETE PEREIRA";"GORETE PEREIRA";"PR";"CE";"520468";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/129618.jpg"
"MARCO MAIA";"MARCO MAIA";"PT";"RS";"523098";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/133373.jpg"
"ELIENE LIMA";"ELIENE LIMA";"PSD";"MT";"526068";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141423.jpg"
"NELSON PADOVANI";"NELSON PADOVANI";"PSC";"PR";"530120";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/160566.jpg"
"LEONARDO MONTEIRO";"LEONARDO MONTEIRO";"PT";"MG";"521068";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74156.jpg"
"HENRIQUE FONTANA";"HENRIQUE FONTANA";"PT";"RS";"523097";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73482.jpg"
"DANILO FORTE";"DANILO FORTE";"PMDB";"CE";"530035";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/62881.jpg"
"FRANCISCO PRACIANO";"FRANCISCO PRACIANO";"PT";"AM";"524640";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141438.jpg"
"EDUARDO BARBOSA";"EDUARDO BARBOSA";"PSDB";"MG";"521405";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74655.jpg"
"DOMINGOS NETO";"DOMINGOS NETO";"PROS";"CE";"530040";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/143632.jpg"
"MANOEL JUNIOR";"MANOEL JUNIOR";"PMDB";"PB";"526317";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141490.jpg"
