data,quantidade
2011-02-01,7
2011-04-01,8
2011-05-01,8
2011-06-01,9
2011-07-01,2
2011-08-01,13
2011-09-01,2
2011-10-01,5
2011-11-01,26
2011-12-01,2
2012-02-01,5
2012-03-01,6
2012-04-01,5
2012-05-01,5
2012-06-01,3
2012-07-01,11
2012-09-01,2
2012-10-01,4
2012-11-01,9
2012-12-01,5
2013-02-01,4
2013-03-01,5
2013-04-01,5
2013-05-01,30
2013-06-01,13
2013-07-01,5
2013-08-01,2
2013-09-01,6
2013-10-01,14
2013-11-01,2
2013-12-01,8
2014-02-01,5
2014-03-01,6
2014-04-01,14
2014-05-01,13
2014-06-01,12
2014-07-01,1
2014-08-01,1
2014-10-01,3
2014-11-01,5
2014-12-01,5
