"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"CARLOS EDUARDO CADOCA";"CARLOS EDUARDO CADOCA";"PCdoB";"PE";"5830813";"2011.0";"54.0";"dep_5830813.jpg"
"MARIO HERINGER";"MARIO HERINGER";"PDT";"MG";"5830467";"2011.0";"54.0";"dep_5830467.jpg"
"LUCIO VALE";"LUCIO VALE";"PR";"PA";"5830567";"2011.0";"54.0";"dep_5830567.jpg"
"REMIDIO MONAI";"REMIDIO MONAI";"PR";"RR";"5830333";"2011.0";"54.0";"dep_5830333.jpg"
"EVAIR DE MELO";"EVAIR DE MELO";"PV";"ES";"5830535";"2011.0";"54.0";"dep_5830535.jpg"
"BILAC PINTO";"BILAC PINTO";"PR";"MG";"5830796";"2011.0";"54.0";"dep_5830796.jpg"
"RUBENS BUENO";"RUBENS BUENO";"PPS";"PR";"5830573";"2011.0";"54.0";"dep_5830573.jpg"
"DELEGADO EDSON MOREIRA";"DELEGADO EDSON MOREIRA";"PTN";"MG";"5830363";"2011.0";"54.0";"dep_5830363.jpg"
"GILBERTO NASCIMENTO";"GILBERTO NASCIMENTO";"PSC";"SP";"5830514";"2011.0";"54.0";"dep_5830514.jpg"
"VICENTINHO";"VICENTINHO";"PT";"SP";"5830496";"2011.0";"54.0";"dep_5830496.jpg"
"LEO DE BRITO";"LEO DE BRITO";"PT";"AC";"5830505";"2011.0";"54.0";"dep_5830505.jpg"
"IVAN VALENTE";"IVAN VALENTE";"PSOL";"SP";"5830668";"2011.0";"54.0";"dep_5830668.jpg"
"MOEMA GRAMACHO";"MOEMA GRAMACHO";"PT";"BA";"5830663";"2011.0";"54.0";"dep_5830663.jpg"
"COVATTI FILHO";"COVATTI FILHO";"PP";"RS";"5830523";"2011.0";"54.0";"dep_5830523.jpg"
"ALBERTO FRAGA";"ALBERTO FRAGA";"DEM";"DF";"5830472";"2011.0";"54.0";"dep_5830472.jpg"
"DEOCLIDES MACEDO";"DEOCLIDES MACEDO";"PDT";"";"0092c182488f0facaa6d24206b747bf7";"";"";"sem_foto.jpg"
"JOSE MENTOR";"JOSE MENTOR";"PT";"SP";"5830475";"2011.0";"54.0";"dep_5830475.jpg"
"JOSE NUNES";"JOSE NUNES";"PSD";"BA";"5830570";"2011.0";"54.0";"dep_5830570.jpg"
"ADELSON BARRETO";"ADELSON BARRETO";"PTB";"SE";"5830370";"2011.0";"54.0";"dep_5830370.jpg"
"FERNANDO COELHO FILHO";"FERNANDO COELHO FILHO";"PSB";"PE";"5830678";"2011.0";"54.0";"dep_5830678.jpg"
"TENENTE LUCIO";"TENENTE LUCIO";"PSB";"MG";"5830759";"2011.0";"54.0";"dep_5830759.jpg"
"MISSIONARIO JOSE OLIMPIO";"MISSIONARIO JOSE OLIMPIO";"PP";"SP";"5830782";"2011.0";"54.0";"dep_5830782.jpg"
"MAINHA";"MAINHA";"SD";"PI";"5830841";"2011.0";"54.0";"dep_5830841.jpg"
"JOSE CARLOS ALELUIA";"JOSE CARLOS ALELUIA";"DEM";"BA";"5830579";"2011.0";"54.0";"dep_5830579.jpg"
"ROBERTO SALES";"ROBERTO SALES";"PRB";"RJ";"5830540";"2011.0";"54.0";"dep_5830540.jpg"
"MARCO MAIA";"MARCO MAIA";"PT";"RS";"5830634";"2011.0";"54.0";"dep_5830634.jpg"
"POMPEO DE MATTOS";"POMPEO DE MATTOS";"PDT";"RS";"5830627";"2011.0";"54.0";"dep_5830627.jpg"
