FLAVIO NOGUEIRA
ARIOSTO HOLANDA
NELSON PADOVANI
PAULO MARTINS
PASTOR LUCIANO BRAGA
TAMPINHA
GOULART
BETO FARO
RODRIGO DE CASTRO
LAERTE BESSA
MAJOR OLIMPIO
LUIS TIBE
ALIEL MACHADO
IVAN VALENTE
PEDRO CHAVES
ASSIS CARVALHO
BETINHO GOMES
CARLOS HENRIQUE GAGUIM
LUIZ CARLOS RAMOS
JOSI NUNES
ALFREDO KAEFER
RICARDO TRIPOLI
FELIPE MAIA
LEOPOLDO MEYER
MARINALDO ROSENDO
NELSON MARQUEZELLI
DOMINGOS SAVIO
RAQUEL MUNIZ
FABIO GARCIA
VICENTINHO JUNIOR
ANDRE FUFUCA
LEO DE BRITO
THIAGO PEIXOTO
ANDERSON FERREIRA
AGUINALDO RIBEIRO
EVANDRO ROMAN
DECIO LIMA
AFONSO FLORENCE
ROSANGELA GOMES
CELSO MALDANER
MARCUS VICENTE
ADELSON BARRETO
VINICIUS CARVALHO
ANTONIO IMBASSAHY
GIUSEPPE VECCI
JEAN WYLLYS
ROBERTO BRITTO
WALTER ALVES
ALTINEU CORTES
JOAO DANIEL
JONY MARCOS
MARCON
DILCEU SPERAFICO
TAKAYAMA
ANTONIO BULHOES
INDIO DA COSTA
VICENTINHO
AUGUSTO CARVALHO
MARCOS ABRAO
VINICIUS GURGEL
CACA LEAO
GEOVANIA DE SA
LAZARO BOTELHO
ARTHUR OLIVEIRA MAIA
SERGIO VIDIGAL
ROCHA
LEONARDO PICCIANI
EDUARDO BARBOSA
JEFFERSON CAMPOS
RONALDO FONSECA
DANILO FORTE
AFONSO MOTTA
WALDENOR PEREIRA
ATILA LINS
REMIDIO MONAI
BRUNA FURLAN
FERNANDO JORDAO
RONEY NEMER
MORONI TORGAN
CARLOS ANDRADE
PR. MARCO FELICIANO
CELSO PANSERA
JULIO CESAR
RICARDO IZAR
TADEU ALENCAR
JOAQUIM PASSARINHO
LEONARDO MONTEIRO
VALTENIR PEREIRA
CESAR HALUM
ALUISIO MENDES
ROBERTO BALESTRA
MARIA HELENA
EFRAIM FILHO
DAMINA PEREIRA
CARLOS SAMPAIO
JOAO CAMPOS
LAERCIO OLIVEIRA
CABO DACIOLO
JUTAHY JUNIOR
LUIZ CARLOS HAULY
GABRIEL GUIMARAES
HELIO LEITE
CICERO ALMEIDA
BACELAR
AUREO
MARGARIDA SALOMAO
WALDIR MARANHAO
MACEDO
HISSA ABRAHAO
ALEXANDRE BALDY
ADILTON SACHETTI
DELEGADO WALDIR
DANIEL COELHO
ALFREDO NASCIMENTO
CARLOS BEZERRA
OSMAR SERRAGLIO
MAURO MARIANI
ALEXANDRE VALLE
DAGOBERTO
ALEX MANENTE
JOSE CARLOS ALELUIA
MARX BELTRAO
MARCO MAIA
RUBENS OTONI
CELIO SILVEIRA
PAULO MALUF
BETO ROSADO
LINDOMAR GARCON
DULCE MIRANDA
MANDETTA
EZEQUIEL TEIXEIRA
LUIZA ERUNDINA
RICARDO BARROS
ALCEU MOREIRA
ROBERTO GOES
ELMAR NASCIMENTO
PAULO FEIJO
WLADIMIR COSTA
ANIBAL GOMES
PROFESSORA MARCIVANIA
JOSE GUIMARAES
NELSON MARCHEZAN JUNIOR
BETO MANSUR
JULIO DELGADO
RONALDO CARLETTO
EVANDRO GUSSI
MARCIO ALVINO
JULIO LOPES
SERGIO REIS
MILTON MONTI
GIOVANI CHERINI
PAULO FOLETTO
JAIME MARTINS
OSMAR TERRA
GIVALDO VIEIRA
SARNEY FILHO
JOSE CARLOS ARAUJO
GILBERTO NASCIMENTO
SORAYA SANTOS
BENEDITA DA SILVA
SIMONE MORGADO
TONINHO WANDSCHEER
NILTO TATTO
DANIEL ALMEIDA
FABIO REIS
JUSCELINO FILHO
RONALDO NOGUEIRA
CARLOS GOMES
FRANKLIN LIMA
DUARTE NOGUEIRA
HUGO LEAL
ANTONIO BRITO
GERALDO RESENDE
CARLOS ZARATTINI
SHERIDAN
JOSUE BENGTSON
RAFAEL MOTTA
PAULO PEREIRA DA SILVA
PAULO FREIRE
DIMAS FABIANO
ESPERIDIAO AMIN
ALAN RICK
DOMINGOS NETO
JO MORAES
NILSON LEITAO
WOLNEY QUEIROZ
ARNALDO JORDY
JOSE PRIANTE
SIMAO SESSIM
HEULER CRUVINEL
ORLANDO SILVA
LUCIANA SANTOS
MARCELO BELINATI
MISAEL VARELLA
ROBERTO ALVES
PEDRO CUNHA LIMA
PADRE JOAO
SERGIO MORAES
