,dado,data,partido,variavel
0,87,2011-06-01,PSC,rice
1,13,2011-06-01,PSC,num_deputados
2,85,2011-06-01,PSC,governismo
3,94,2011-06-01,PSC,fidelidade_lider
4,5,2011-06-01,PSC,dispersao
5,95,2011-06-01,PT,rice
6,68,2011-06-01,PT,num_deputados
7,96,2011-06-01,PT,governismo
8,97,2011-06-01,PT,fidelidade_lider
9,2,2011-06-01,PT,dispersao
10,90,2011-06-01,PMDB,rice
11,57,2011-06-01,PMDB,num_deputados
12,91,2011-06-01,PMDB,governismo
13,95,2011-06-01,PMDB,fidelidade_lider
14,4,2011-06-01,PMDB,dispersao
15,60,2011-06-01,PRP,rice
16,2,2011-06-01,PRP,num_deputados
17,95,2011-06-01,PRP,governismo
18,100,2011-06-01,PRP,fidelidade_lider
19,0,2011-06-01,PRP,dispersao
20,92,2011-06-01,PTB,rice
21,16,2011-06-01,PTB,num_deputados
22,92,2011-06-01,PTB,governismo
23,96,2011-06-01,PTB,fidelidade_lider
24,3,2011-06-01,PTB,dispersao
25,81,2011-06-01,PV,rice
26,10,2011-06-01,PV,num_deputados
27,72,2011-06-01,PV,governismo
28,95,2011-06-01,PV,fidelidade_lider
29,7,2011-06-01,PV,dispersao
30,93,2011-06-01,PSB,rice
31,24,2011-06-01,PSB,num_deputados
32,94,2011-06-01,PSB,governismo
33,95,2011-06-01,PSB,fidelidade_lider
34,3,2011-06-01,PSB,dispersao
35,85,2011-06-01,PSOL,rice
36,3,2011-06-01,PSOL,num_deputados
37,35,2011-06-01,PSOL,governismo
38,94,2011-06-01,PSOL,fidelidade_lider
39,2,2011-06-01,PSOL,dispersao
40,64,2011-06-01,PHS,rice
41,2,2011-06-01,PHS,num_deputados
42,91,2011-06-01,PHS,governismo
43,100,2011-06-01,PHS,fidelidade_lider
44,2,2011-06-01,PHS,dispersao
45,92,2011-06-01,PR,rice
46,27,2011-06-01,PR,num_deputados
47,93,2011-06-01,PR,governismo
48,98,2011-06-01,PR,fidelidade_lider
49,3,2011-06-01,PR,dispersao
50,86,2011-06-01,DEM,rice
51,28,2011-06-01,DEM,num_deputados
52,47,2011-06-01,DEM,governismo
53,93,2011-06-01,DEM,fidelidade_lider
54,6,2011-06-01,DEM,dispersao
55,94,2011-06-01,PRB,rice
56,10,2011-06-01,PRB,num_deputados
57,92,2011-06-01,PRB,governismo
58,97,2011-06-01,PRB,fidelidade_lider
59,2,2011-06-01,PRB,dispersao
60,98,2011-06-01,PCdoB,rice
61,12,2011-06-01,PCdoB,num_deputados
62,93,2011-06-01,PCdoB,governismo
63,99,2011-06-01,PCdoB,fidelidade_lider
64,1,2011-06-01,PCdoB,dispersao
65,77,2011-06-01,PMN,rice
66,3,2011-06-01,PMN,num_deputados
67,86,2011-06-01,PMN,governismo
68,9,2011-06-01,PMN,fidelidade_lider
69,4,2011-06-01,PMN,dispersao
70,92,2011-06-01,PSDB,rice
71,34,2011-06-01,PSDB,num_deputados
72,42,2011-06-01,PSDB,governismo
73,97,2011-06-01,PSDB,fidelidade_lider
74,3,2011-06-01,PSDB,dispersao
75,48,2011-06-01,PRTB,rice
76,1,2011-06-01,PRTB,num_deputados
77,95,2011-06-01,PRTB,governismo
78,100,2011-06-01,PRTB,fidelidade_lider
79,0,2011-06-01,PRTB,dispersao
80,36,2011-06-01,PSL,rice
81,2,2011-06-01,PSL,num_deputados
82,90,2011-06-01,PSL,governismo
83,89,2011-06-01,PSL,fidelidade_lider
84,2,2011-06-01,PSL,dispersao
85,87,2011-06-01,PP,rice
86,30,2011-06-01,PP,num_deputados
87,92,2011-06-01,PP,governismo
88,92,2011-06-01,PP,fidelidade_lider
89,5,2011-06-01,PP,dispersao
90,0,2011-06-01,PTC,rice
91,1,2011-06-01,PTC,num_deputados
92,94,2011-06-01,PTC,governismo
93,100,2011-06-01,PTC,fidelidade_lider
94,0,2011-06-01,PTC,dispersao
95,75,2011-06-01,PDT,rice
96,21,2011-06-01,PDT,num_deputados
97,86,2011-06-01,PDT,governismo
98,84,2011-06-01,PDT,fidelidade_lider
99,10,2011-06-01,PDT,dispersao
100,94,2011-06-01,PTdoB,rice
101,3,2011-06-01,PTdoB,num_deputados
102,97,2011-06-01,PTdoB,governismo
103,100,2011-06-01,PTdoB,fidelidade_lider
104,0,2011-06-01,PTdoB,dispersao
105,67,2011-06-01,PPS,rice
106,8,2011-06-01,PPS,num_deputados
107,41,2011-06-01,PPS,governismo
108,88,2011-06-01,PPS,fidelidade_lider
109,12,2011-06-01,PPS,dispersao
110,89,2003-10-01,PSC,rice
111,4,2003-10-01,PSC,num_deputados
112,100,2003-10-01,PSC,governismo
113,100,2003-10-01,PSC,fidelidade_lider
114,0,2003-10-01,PSC,dispersao
115,96,2003-10-01,PT,rice
116,72,2003-10-01,PT,num_deputados
117,97,2003-10-01,PT,governismo
118,97,2003-10-01,PT,fidelidade_lider
119,2,2003-10-01,PT,dispersao
120,90,2003-10-01,PMDB,rice
121,50,2003-10-01,PMDB,num_deputados
122,93,2003-10-01,PMDB,governismo
123,93,2003-10-01,PMDB,fidelidade_lider
124,4,2003-10-01,PMDB,dispersao
125,86,2003-10-01,PTB,rice
126,36,2003-10-01,PTB,num_deputados
127,91,2003-10-01,PTB,governismo
128,94,2003-10-01,PTB,fidelidade_lider
129,6,2003-10-01,PTB,dispersao
130,97,2003-10-01,PL,rice
131,26,2003-10-01,PL,num_deputados
132,97,2003-10-01,PL,governismo
133,96,2003-10-01,PL,fidelidade_lider
134,1,2003-10-01,PL,dispersao
135,74,2003-10-01,PV,rice
136,4,2003-10-01,PV,num_deputados
137,84,2003-10-01,PV,governismo
138,87,2003-10-01,PV,fidelidade_lider
139,8,2003-10-01,PV,dispersao
140,92,2003-10-01,PSB,rice
141,17,2003-10-01,PSB,num_deputados
142,94,2003-10-01,PSB,governismo
