"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM"
"19281e2a4673015e677adc78d1625610";"150819";"20:25:00";"Não";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 171 de 1993. Sim: 320; não: 152; abstenção:1; total: 473.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"a059311e13835776e4c99380f9a1a72f";"150630";"00:16:00";"Não";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Rejeitado o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 171 de 1993. Sim: 303; não: 184; abstenções: 3; total: 490.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"810e301b11c0f185ac9a9f956c54255d";"150701";"19:26:00";"Sim";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Rejeitado o Requerimento. Sim: 159; não: 304; abstenção: 2; total: 465.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"30c70a3797468816ef2b3be01dc3b2cf";"150701";"21:08:00";"Não";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Aprovado o destaque de preferência. Sim: 323; não: 155; abstenção: 1; total: 475.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"8b56a930b6a0cf18604b2b9ece86268f";"150701";"00:03:00";"Não";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Aprovada a Emenda Aglutinativa nº 16. Sim: 323; não: 155; abstenção: 2; total: 480.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"c4df6c63ddac64162a3d32422c6c2356";"150701";"21:58:00";"Sim";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Rejeitado o Requerimento. Sim: 156; não: 299; total: 455.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"b2a56e70cc073f50a630fd0ddedb868a";"150819";"19:30:00";"Não";"PEC";"171";"1993";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).";"Rejeitado o Requerimento. Sim: 37; não:419; total: 456.";"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos)."
"3afcdbe7d418c2302ac05eb33cea6d17";"150820";"13:22:00";"Não";"PL";"2479";"2000";"Altera o art. 12 do Decreto-Lei nº 73, de 21 de novembro de 1966, que 'Dispõe sobre o sistema nacional de seguros privados, regula as operações de seguros e resseguros e dá outras providências'.";"Rejeitado o Requerimento. Sim: 179; não: 187; total: 366.";"Fixa um prazo limite de 30 (trinta) dias para o pagamento de indenização ao segurado; dispõe que os casos em que haja litígio ou discordância sejam dirimidos na Justiça.
"
"342d752c42529f646a951a08e0f037eb";"150423";"13:45:00";"Não";"PL";"2505";"2000";"Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal.";"Aprovada a Emenda de Plenário nº 6. Sim: 232; não: 122; abstenção: 2; total: 356.";"Determina que o material apreendido pela Polícia Federal, fruto de contrabando e que possa vir a ser usado no combate ao crime, deverá ser repassado às Secretarias de Segurança Pública Estaduais e à Polícia Federal."
"fdb30583a9c709defa839c355b0d9886";"150408";"20:49:00";"Não";"PL";"4330";"2004";"Dispõe sobre os contratos de terceirização e as relações de trabalho deles decorrentes.";"Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania às Emendas de Plenário e ao Projeto de Lei nº 4.330 de 2004, ressalvados os destaques. Sim: 324; não: 137; abstenção: 2; total: 463.";"Dispõe sobre os contratos de terceirização e as relações de trabalho deles decorrentes."
