,dado,data,partido,variavel
0,2,2006-07-01,PPS,dispersao
1,99,2006-07-01,PPS,fidelidade_lider
2,95,2006-07-01,PPS,rice
3,11,2006-07-01,PPS,num_deputados
4,66,2006-07-01,PPS,governismo
5,4,2006-07-01,PDT,dispersao
6,97,2006-07-01,PDT,fidelidade_lider
7,89,2006-07-01,PDT,rice
8,15,2006-07-01,PDT,num_deputados
9,67,2006-07-01,PDT,governismo
10,0,2006-07-01,PTC,dispersao
11,0,2006-07-01,PTC,rice
12,1,2006-07-01,PTC,num_deputados
13,88,2006-07-01,PTC,governismo
14,3,2006-07-01,PSOL,dispersao
15,98,2006-07-01,PSOL,fidelidade_lider
16,93,2006-07-01,PSOL,rice
17,6,2006-07-01,PSOL,num_deputados
18,66,2006-07-01,PSOL,governismo
19,2,2006-07-01,PT,dispersao
20,98,2006-07-01,PT,fidelidade_lider
21,96,2006-07-01,PT,rice
22,62,2006-07-01,PT,num_deputados
23,98,2006-07-01,PT,governismo
24,4,2006-07-01,PV,dispersao
25,97,2006-07-01,PV,fidelidade_lider
26,88,2006-07-01,PV,rice
27,4,2006-07-01,PV,num_deputados
28,65,2006-07-01,PV,governismo
29,5,2006-07-01,PTB,dispersao
30,94,2006-07-01,PTB,fidelidade_lider
31,86,2006-07-01,PTB,rice
32,28,2006-07-01,PTB,num_deputados
33,88,2006-07-01,PTB,governismo
34,0,2006-07-01,PRONA,dispersao
35,54,2006-07-01,PRONA,rice
36,2,2006-07-01,PRONA,num_deputados
37,47,2006-07-01,PRONA,governismo
38,3,2006-07-01,PMR,dispersao
39,48,2006-07-01,PMR,rice
40,2,2006-07-01,PMR,num_deputados
41,84,2006-07-01,PMR,governismo
42,0,2006-07-01,PRB,dispersao
43,50,2006-07-01,PRB,rice
44,2,2006-07-01,PRB,num_deputados
45,50,2006-07-01,PRB,governismo
46,6,2006-07-01,PSB,dispersao
47,89,2006-07-01,PSB,fidelidade_lider
48,82,2006-07-01,PSB,rice
49,20,2006-07-01,PSB,num_deputados
50,91,2006-07-01,PSB,governismo
51,2,2006-07-01,DEM,dispersao
52,97,2006-07-01,DEM,fidelidade_lider
53,94,2006-07-01,DEM,rice
54,39,2006-07-01,DEM,num_deputados
55,48,2006-07-01,DEM,governismo
56,5,2006-07-01,PSC,dispersao
57,85,2006-07-01,PSC,fidelidade_lider
58,84,2006-07-01,PSC,rice
59,4,2006-07-01,PSC,num_deputados
60,86,2006-07-01,PSC,governismo
61,2,2006-07-01,PSDB,dispersao
62,99,2006-07-01,PSDB,fidelidade_lider
63,95,2006-07-01,PSDB,rice
64,35,2006-07-01,PSDB,num_deputados
65,47,2006-07-01,PSDB,governismo
66,8,2006-07-01,PMDB,dispersao
67,88,2006-07-01,PMDB,fidelidade_lider
68,77,2006-07-01,PMDB,rice
69,53,2006-07-01,PMDB,num_deputados
70,83,2006-07-01,PMDB,governismo
71,9,2006-07-01,PP,dispersao
72,87,2006-07-01,PP,fidelidade_lider
73,76,2006-07-01,PP,rice
74,33,2006-07-01,PP,num_deputados
75,83,2006-07-01,PP,governismo
