"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM"
"a4a51efa86b4df393f19cd097fbfe06d";"030402";"18:56:00";"Não";"PEC";"53";"1999";"Altera o inciso V do art. 163 e o art. 192 da Constituição Federal, e o caput do art. 52 do Ato das Disposições Constitucionais Transitórias.";"Rejeitadas em globo as Emendas de nºs. 1, 2, 3, 4 e 5, apresentadas na Comissão Especial, com parecer pela rejeição, ressalvado o destaque. - Sim: 2; Não: 424; Abst.: 1; Total: 427.";""
"d891a78e6e803fbe99dfaeacab1fb9d3";"030402";"19:18:00";"Sim";"PEC";"53";"1999";"Altera o inciso V do art. 163 e o art. 192 da Constituição Federal, e o caput do art. 52 do Ato das Disposições Constitucionais Transitórias.";"Aprovada a Proposta de Emenda à Constituição nº 53, de 2003, em 1º turno. - Sim: 442; Não: 13; Abst.: 17; Total: 472 .";""
"1f94356df26147c0b291fd0f1542ca20";"030515";"12:57:00";"Sim";"PEC";"53";"1999";"Altera o inciso V do art. 163 e o art. 192 da Constituição Federal, e o caput do art. 52 do Ato das Disposições Constitucionais Transitórias.";"Aprovada a Proposta de Emenda Constitucional nº 53-C, de 1999, em 2º turno.  - Sim: 368; Não: 13; Abst.: 4; Total: 385.";""
"08e5ee416d2feda40b6ed385e78a1c30";"031119";"19:10:00";"Sim";"PEC";"254";"2000";"Altera o art. 42 do Ato das Disposições Constitucionais Transitórias, prorrogando, por dez anos, a aplicação, por parte da União, de percentuais mínimos do total dos recursos destinados à irrigação nas Regiões Centro-Oeste e Nordeste.";"Aprovada a Proposta de Emenda à Constituição nº 254, de 2000, em 1º turno. - Sim: 352; Não: 0; Abst.: 0; Total: 352.";""
"40202bf7b638ec88b77aefe6111ee081";"031218";"23:08:00";"Sim";"PEC";"254";"2000";"Altera o art. 42 do Ato das Disposições Constitucionais Transitórias, prorrogando, por dez anos, a aplicação, por parte da União, de percentuais mínimos do total dos recursos destinados à irrigação nas Regiões Centro-Oeste e Nordeste.";"Adiada a votação por falta de quorum qualificado.";""
"7d7ffadfdf380d82df62ac25881e17d4";"030702";"19:11:00";"Sim";"PEC";"306";"2000";"Acrescenta § 3º ao art. 215 da Constituição Federal, instituindo o Plano Nacional de Cultura.";"Aprovado o Substitutivo da Comissão de Constituição e Justiça e de Redação, em primeiro turno. - Sim: 403; Não: 0; Abst. 0; Total: 403";""
"6feaafcab7cb76ed04a6dd2015c74d29";"030730";"18:54:00";"Sim";"PEC";"306";"2000";"Acrescenta § 3º ao art. 215 da Constituição Federal, instituindo o Plano Nacional de Cultura.";"Aprovada a Proposta de Emenda à Constituição nº 306-C, de 2000, em 2º turno. - Sim: 395; Não: 0; Abst.: 0; Total: 395.";""
"162674012ce5738a021c26f6e1c8e1df";"031202";"22:33:00";"Sim";"PEC";"575";"1998";"Altera o inciso IV, do Artigo 20 da Constituição Federal.";"Aprovado o Substitutivo da Comissão Especial. - Sim: 345; Não: 0; Abst.: 1; Total: 346.";""
"7ef6660a4f3bd03a92fbcd12c73877f6";"030319";"18:37:00";"Não";"PL";"2681";"1996";"Dá nova redação aos §§ 1º e 3º do art. 184 e ao art. 186 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e acrescenta parágrafos ao art. 525 do Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal.";"Verificação de votação solicitada pelo Dep. Antonio Carlos Pannuzio, na qualidade de líder do PSDB. - Sim: 105; Não: 328; Abst.: 4; Total 437. - Rejeitado o Requerimento.";""
"ed213b0ff8be88c73ef69652848f9f78";"030730";"17:31:00";"Sim";"PL";"3464";"2000";"Autoriza a transferência das cotas representativas da participação da União no capital da empresa 'Serviços Aéreos Especializados Médico-Hospitalar Conceição Ltda'.";"";""
"412538cc959fe07c5e076b5ab0de9363";"030625";"19:29:00";"Sim";"PL";"3731";"1997";"Define e regula os meios de prova e procedimentos investigatórios, destinados à prevenção e repressão dos crimes praticados por organizações criminosas.";"Verificação de votação solicitada pelo Sr. Dep. Roberto Jefferson, Líder do PTB. - Sim: 332; Não: 69; Abst.: 4; Total: 405. Aprovado o Substitutivo.";""
"8304ef33690e45b3ab3507f184379743";"031015";"22:01:00";"Sim";"PL";"4376";"1993";"Regula a recuperação judicial, a extrajudicial e a falência de devedores pessoas físicas e jurídicas que exerçam atividade econômica regida pelas leis comerciais, e dá outras providências.";"Verificação de votação solicitada pelo Sr. Deputado José Carlos Aleluia.  - Sim: 245; Não: 24; Abst.: 7; Total: 276. Aprovada a Nova Subemenda Substitutiva de Plenário.";""
"70302e10f456bb334dbc39f2ee07edb6";"030819";"17:19:00";"Não";"PL";"4572";"1998";"Cria o Programa de Estímulo ao Primeiro Emprego - PEPE e dá outras providências.";"Verificação de votação do Requerimento solicitada pelo Dep. José Carlos Aleluia, Líder do PFL, que resultou em: Sim: 28; Não: 268; Abst.: 2; Total: 298, logo, REJEITADO O REQUERIMENTO.";""
"33a050bae40b50bc9ab2fb786a27c1d0";"030819";"20:48:00";"Não";"PL";"4572";"1998";"Cria o Programa de Estímulo ao Primeiro Emprego - PEPE e dá outras providências.";"Verificação de votação do Requerimento solicitada pelo Dep. José Carlos Aleluia, Líder do PFL, que resultou em: Sim: 21; Não: 319; Abst.: 1; Total: 341, logo, REJEITADO O REQUERIMENTO.";""
"7e3697c9aa9e553138762c8455a625a5";"031203";"19:50:00";"Sim";"PLP";"52";"1999";"Acrescenta inciso ao art. 3º da Lei Complementar nº 79, de 7 de janeiro de 1994, que 'cria o Fundo Penitenciário Nacional (Funpen)', para incluir a manutenção das casas de abrigo.";"Aprovado o Projeto de Lei Complementar. Sim: 402; Não: 0; Abst.: 0; Total: 402.";""
"5d1378e743f6445c6ca79d83302af2fc";"031203";"17:38:00";"Sim";"PLP";"224";"2001";"Dá nova redação ao § 1º, do art. 3º, da Lei Complementar nº 91, de 22 de dezembro de 1997, que dispõe sobre a fixação dos coeficientes de distribuição dos recursos do Fundo de Participação dos Municípios.";"Aprovado o Projeto de Lei Complementar nº 224, de 2001. - Sim: 332; Não: 1; Total: 333.";""
"964deada203201f3eb347071f87405e7";"030225";"18:54:00";"Sim";"MSC";"48";"2002";"Submete à consideração do Congresso Nacional o texto da 'Convenção das Nações Unidas contra o Crime Organizado Transnacional' e seus dois Protocolos, relativos ao 'Combate ao Tráfico de Migrantes por via Terrestre, Marítima e Aérea' e à 'Prevenção, Repressão e Punição do Tráfico de Pessoas, em Especial Mulheres e Crianças', celebrados em Palermo, em 15 de dezembro de 2000.";"Aprovado o Requerimento de Srs. Líderes solicitando, nos termos do art. 155 do RICD, urgência para apreciação desta Mensagem.";""
"212b19a9ea48e5f724a17415bd213633";"031119";"19:30:00";"Sim";"PEC";"544";"2002";"Cria os Tribunais Regionais Federais da 6ª, 7ª, 8ª e 9ª Regiões.";"Verificação de votação solicitada pelo Dep. José Carlos Aleluia, Líder do PFL. - Sim: 192; Não: 131; Abst.: 1; Total: 324.  - Aprovado o Requerimento.";""
"90cd855b88b712f394c8caf7dc3b457d";"030730";"17:48:00";"Sim";"PL";"7136";"2002";"Transforma os cargos de Auxiliar Judiciário, criados pela Lei nº 9607, de 18 de fevereiro de 1998, do Quadro de Pessoal da Secretaria do Supremo Tribunal Federal.";"";""
"6b7d4fa595236685e46ffac5b07ada00";"030312";"17:16:00";"Não";"MPV";"79";"2002";"Dispõe sobre o direito ao ressarcimento dos custos de formação de atleta não profissional e a exploração comercial da imagem do atleta profissional, impõe vedações ao exercício de cargo ou função executiva em entidade de administração de desporto profissional, fixa normas de segurança nos estádios, adapta o tratamento diferenciado do desporto profissional à Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, estabelece diretrizes para o cumprimento da obrigação constante do art. 46-A da Lei nº 9.615, de 24 de março de 1998, altera o art. 8° da Lei nº 10.359, de 27 de dezembro de 2001, e dá outras providências.   - NOVA EMENTA DO PLV  01/03: - Altera dispositivos da Lei nº 9.615, de 24 de março de 1998, e dá outras providências.";"";""
