"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"FRANCISCO PRACIANO";"FRANCISCO PRACIANO";"PT";"AM";"524640";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141438.jpg"
"AROLDE DE OLIVEIRA";"AROLDE DE OLIVEIRA";"PSD";"RJ";"522534";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74833.jpg"
"ELCIONE BARBALHO";"ELCIONE BARBALHO";"PMDB";"PA";"526158";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74075.jpg"
"REGIS DE OLIVEIRA";"REGIS DE OLIVEIRA";"PSC";"SP";"73556";"2007";"53";""
"LUIZ COUTO";"LUIZ COUTO";"PT";"PB";"521703";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74041.jpg"
"ANSELMO DE JESUS";"ANSELMO DE JESUS";"PT";"RO";"5829189";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/73937.jpg"
"MOISES AVELINO";"MOISES AVELINO";"PMDB";"TO";"139311";"2007";"53";""
"MARCELO ITAGIBA";"MARCELO ITAGIBA";"PMDB";"RJ";"141495";"2007";"53";""
"JERÔNIMO REIS";"JERONIMO REIS";"PFL";"SE";"74528";"2007";"53";""
"JOSÉ MENTOR";"JOSE MENTOR";"PT";"SP";"523548";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/74275.jpg"
"MARCOS LIMA";"MARCOS LIMA";"PMDB";"MG";"74745";"2007";"53";""
"ZÉ VIEIRA";"ZE VIEIRA";"PROS";"MA";"525440";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/152607.jpg"
"CLÁUDIO MAGRÃO";"CLAUDIO MAGRAO";"PPS";"SP";"74263";"2007";"53";""
"VANDERLEI MACRIS";"VANDERLEI MACRIS";"PSDB";"SP";"533308";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141553.jpg"
"CLEBER VERDE";"CLEBER VERDE";"PRB";"MA";"525375";"2011";"54";"http://www.camara.gov.br/internet/deputado/bandep/141408.jpg"
