ID_VOTACAO,POLITICO,VOTO,PARTIDO,ORIENTACAO_GOVERNO,RICE
2bad3fc3dcab6aea8cf8d2f334c2d545,ROBERTO ALVES,NAO,PRB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,LAZARO BOTELHO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CAPITAO FABIO ABREU,SIM,PTB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CACA LEAO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,DIMAS FABIANO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CHICO D ANGELO,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,HELIO LEITE,NAO,DEM,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,JOAO RODRIGUES,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,FABIANO HORTA,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,RICARDO TRIPOLI,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,DULCE MIRANDA,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,EDUARDO BOLSONARO,SIM,PSC,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LUIZ CARLOS HAULY,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,AFONSO FLORENCE,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,HUGO LEAL,NAO,PROS,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,ARTHUR LIRA,NAO,PP,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,AELTON FREITAS,NAO,PR,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,JARBAS VASCONCELOS,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,IRMAO LAZARO,SIM,PSC,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ODELMO LEAO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,FELIPE MAIA,SIM,DEM,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,VANDERLEI MACRIS,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,REMIDIO MONAI,SIM,PR,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ALIEL MACHADO,SIM,PCdoB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,FRANCISCO CHAPADINHA,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,FAUSTO PINATO,SIM,PRB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,HUGO MOTTA,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,ESPERIDIAO AMIN,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ENIO VERRI,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,DELEGADO WALDIR,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,HELDER SALOMAO,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,NELSON MARQUEZELLI,SIM,PTB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JANETE CAPIBERIBE,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MIGUEL HADDAD,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JOVAIR ARANTES,NAO,PTB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,RODRIGO DE CASTRO,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CLEBER VERDE,NAO,PRB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,PAULO FOLETTO,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,NILTON CAPIXABA,NAO,PTB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,FABIO GARCIA,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,REJANE DIAS,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,ROGERIO MARINHO,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,AUREO,NAO,SDD,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,MARIO HERINGER,SIM,PDT,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LELO COIMBRA,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,MARCOS ROGERIO,SIM,PDT,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ALBERTO FRAGA,SIM,DEM,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,CELSO PANSERA,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,MARINALDO ROSENDO,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,SAMUEL MOREIRA,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JERONIMO GOERGEN,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,RICARDO IZAR,NAO,PSD,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,ANDRES SANCHEZ,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,MAX FILHO,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,RUBENS OTONI,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,ARNALDO FARIA DE SA,SIM,PTB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,SHERIDAN,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,GIOVANI FELTES,SIM,PMDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,WASHINGTON REIS,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,FLAVINHO,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,VICENTINHO,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,DELEGADO EDER MAURO,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LEOPOLDO MEYER,SIM,PSB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,JORGE BOEIRA,NAO,PP,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,JOAQUIM PASSARINHO,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,ZE SILVA,SIM,SDD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LEO DE BRITO,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,VICTOR MENDES,SIM,PV,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MANOEL JUNIOR,SIM,PMDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,HERCULANO PASSOS,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,GILBERTO NASCIMENTO,SIM,PSC,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,PEDRO PAULO,NAO,PMDB,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,EVANDRO ROGERIO ROMAN,SIM,PSD,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,MILTON MONTI,SIM,PR,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,LUIZ CARLOS RAMOS,NAO,PSDC,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,COVATTI FILHO,SIM,PP,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,IZALCI,SIM,PSDB,NAO,0
2bad3fc3dcab6aea8cf8d2f334c2d545,HENRIQUE FONTANA,NAO,PT,NAO,1
2bad3fc3dcab6aea8cf8d2f334c2d545,EDUARDO CURY,SIM,PSDB,NAO,0
