"ID_VOTACAO";"POLITICO";"VOTO";"PARTIDO"
"5146";"Blairo Maggi";"NAO";"PR"
"5308";"Wilson Matos";"NAO";"PSDB"
"4795";"José Agripino";"NAO";"DEM"
"4795";"Itamar Franco";"NAO";"PPS"
"4795";"Aécio Neves";"NAO";"PSDB"
"4795";"Marisa Serrano";"NAO";"PSDB"
"4795";"Lúcia Vânia";"NAO";"PSDB"
"4795";"Alvaro Dias";"NAO";"PSDB"
"4795";"Kátia Abreu";"NAO";"DEM"
"4795";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4795";"Flexa Ribeiro";"NAO";"PSDB"
"4795";"Cícero Lucena";"NAO";"PSDB"
"4795";"Jayme Campos";"NAO";"DEM"
"4795";"Mário Couto";"NAO";"PSDB"
"4795";"Jarbas Vasconcelos";"NAO";"PMDB"
"4795";"Cyro Miranda";"NAO";"PSDB"
"4795";"Ana Amélia";"NAO";"PP"
"4806";"Epitácio Cafeteira";"NAO";"PTB"
"4806";"Renan Calheiros";"NAO";"PMDB"
"4806";"Paulo Paim";"NAO";"PT"
"4806";"Blairo Maggi";"NAO";"PR"
"4806";"Romero Jucá";"NAO";"PMDB"
"4806";"Eduardo Suplicy";"NAO";"PT"
"4806";"Eunício Oliveira";"NAO";"PMDB"
"4806";"Armando Monteiro";"NAO";"PTB"
"4806";"Vanessa Grazziotin";"NAO";"PCdoB"
"4806";"Inácio Arruda";"NAO";"PCdoB"
"4806";"José Pimentel";"NAO";"PT"
"4806";"Ciro Nogueira";"NAO";"PP"
"4806";"Gilvam Borges";"NAO";"PMDB"
"4806";"Walter Pinheiro";"NAO";"PT"
"4806";"Ricardo Ferraço";"NAO";"PMDB"
"4806";"João Alberto Souza";"NAO";"PMDB"
"4806";"Francisco Dornelles";"NAO";"PP"
"4806";"Antonio Carlos Valadares";"NAO";"PSB"
"4806";"Magno Malta";"NAO";"PR"
"4806";"Waldemir Moka";"NAO";"PMDB"
"4806";"Jorge Afonso Argello";"NAO";"PTB"
"4806";"Lindbergh Farias";"NAO";"PT"
"4806";"João Ribeiro";"NAO";"PR"
"4806";"Valdir Raupp";"NAO";"PMDB"
"4806";"Marcelo Crivella";"NAO";"PRB"
"4806";"Delcídio do Amaral";"NAO";"PT"
"4806";"Vicentinho Alves";"NAO";"PR"
"4806";"João Pedro";"NAO";"PT"
"4806";"Wilson Santiago";"NAO";"PMDB"
"4806";"Benedito de Lira";"NAO";"PP"
"4806";"Mozarildo Cavalcanti";"NAO";"PTB"
"4806";"Fernando Collor";"NAO";"PTB"
"4806";"João Durval";"NAO";"PDT"
"4806";"João Vicente Claudino";"NAO";"PTB"
"4806";"Sérgio Petecão";"NAO";"PMN"
"4806";"Lídice da Mata";"NAO";"PSB"
"4806";"Rodrigo Rollemberg";"NAO";"PSB"
"4806";"Vital do Rêgo";"NAO";"PMDB"
"4806";"Angela Portela";"NAO";"PT"
"4806";"Eduardo Amorim";"NAO";"PSC"
"4806";"Anibal Diniz";"NAO";"PT"
"4806";"Ana Rita";"NAO";"PT"
"4806";"Lobão Filho";"NAO";"PMDB"
"4806";"Garibaldi Alves";"NAO";"PMDB"
"4806";"Clésio Andrade";"NAO";"PR"
"4806";"Marta Suplicy";"NAO";"PT"
"4806";"Ivo Cassol";"NAO";"PP"
"4806";"Gleisi Hoffmann";"NAO";"PT"
"4806";"Humberto Costa";"NAO";"PT"
"4806";"Pedro Taques";"NAO";"PDT"
"4806";"Jorge Viana";"NAO";"PT"
"4806";"Eduardo Braga";"NAO";"PMDB"
"4806";"Paulo Davim";"NAO";"PV"
"4806";"Acir Gurgacz";"NAO";"PDT"
"4806";"Wellington Dias";"NAO";"PT"
"4807";"Epitácio Cafeteira";"NAO";"PTB"
"4807";"Renan Calheiros";"NAO";"PMDB"
"4807";"Paulo Paim";"NAO";"PT"
"4807";"Blairo Maggi";"NAO";"PR"
"4807";"Romero Jucá";"NAO";"PMDB"
"4807";"Eduardo Suplicy";"NAO";"PT"
"4807";"Eunício Oliveira";"NAO";"PMDB"
"4807";"Armando Monteiro";"NAO";"PTB"
"4807";"Vanessa Grazziotin";"NAO";"PCdoB"
"4807";"Inácio Arruda";"NAO";"PCdoB"
"4807";"José Pimentel";"NAO";"PT"
"4807";"Ciro Nogueira";"NAO";"PP"
"4807";"Gilvam Borges";"NAO";"PMDB"
"4807";"Walter Pinheiro";"NAO";"PT"
"4807";"Ricardo Ferraço";"NAO";"PMDB"
"4807";"João Alberto Souza";"NAO";"PMDB"
"4807";"Francisco Dornelles";"NAO";"PP"
"4807";"Antonio Carlos Valadares";"NAO";"PSB"
"4807";"Magno Malta";"NAO";"PR"
"4807";"Waldemir Moka";"NAO";"PMDB"
"4807";"Jorge Afonso Argello";"NAO";"PTB"
"4807";"Lindbergh Farias";"NAO";"PT"
"4807";"João Ribeiro";"NAO";"PR"
"4807";"Valdir Raupp";"NAO";"PMDB"
"4807";"Marcelo Crivella";"NAO";"PRB"
"4807";"Delcídio do Amaral";"NAO";"PT"
"4807";"Vicentinho Alves";"NAO";"PR"
"4807";"João Pedro";"NAO";"PT"
"4807";"Wilson Santiago";"NAO";"PMDB"
"4807";"Benedito de Lira";"NAO";"PP"
"4807";"Mozarildo Cavalcanti";"NAO";"PTB"
"4807";"Fernando Collor";"NAO";"PTB"
"4807";"João Durval";"NAO";"PDT"
"4807";"João Vicente Claudino";"NAO";"PTB"
"4807";"Sérgio Petecão";"NAO";"PMN"
"4807";"Lídice da Mata";"NAO";"PSB"
"4807";"Rodrigo Rollemberg";"NAO";"PSB"
"4807";"Vital do Rêgo";"NAO";"PMDB"
"4807";"Angela Portela";"NAO";"PT"
"4807";"Eduardo Amorim";"NAO";"PSC"
"4807";"Anibal Diniz";"NAO";"PT"
"4807";"Ana Rita";"NAO";"PT"
"4807";"Lobão Filho";"NAO";"PMDB"
"4807";"Garibaldi Alves";"NAO";"PMDB"
"4807";"Clésio Andrade";"NAO";"PR"
"4807";"Marta Suplicy";"NAO";"PT"
"4807";"Ivo Cassol";"NAO";"PP"
"4807";"Gleisi Hoffmann";"NAO";"PT"
"4807";"Humberto Costa";"NAO";"PT"
"4807";"Jorge Viana";"NAO";"PT"
"4807";"Eduardo Braga";"NAO";"PMDB"
"4807";"Paulo Davim";"NAO";"PV"
"4807";"Acir Gurgacz";"NAO";"PDT"
"4807";"Wellington Dias";"NAO";"PT"
"4808";"Epitácio Cafeteira";"NAO";"PTB"
"4808";"Renan Calheiros";"NAO";"PMDB"
"4808";"Paulo Paim";"NAO";"PT"
"4808";"Blairo Maggi";"NAO";"PR"
"4808";"Romero Jucá";"NAO";"PMDB"
"4808";"Eduardo Suplicy";"NAO";"PT"
"4808";"Eunício Oliveira";"NAO";"PMDB"
"4808";"Armando Monteiro";"NAO";"PTB"
"4808";"Vanessa Grazziotin";"NAO";"PCdoB"
"4808";"Inácio Arruda";"NAO";"PCdoB"
"4808";"José Pimentel";"NAO";"PT"
"4808";"Ciro Nogueira";"NAO";"PP"
"4808";"Gilvam Borges";"NAO";"PMDB"
"4808";"Walter Pinheiro";"NAO";"PT"
"4808";"Ricardo Ferraço";"NAO";"PMDB"
"4808";"João Alberto Souza";"NAO";"PMDB"
"4808";"Francisco Dornelles";"NAO";"PP"
"4808";"Antonio Carlos Valadares";"NAO";"PSB"
"4808";"Magno Malta";"NAO";"PR"
"4808";"Waldemir Moka";"NAO";"PMDB"
"4808";"Jorge Afonso Argello";"NAO";"PTB"
"4808";"Lindbergh Farias";"NAO";"PT"
"4808";"João Ribeiro";"NAO";"PR"
"4808";"Valdir Raupp";"NAO";"PMDB"
"4808";"Marcelo Crivella";"NAO";"PRB"
"4808";"Delcídio do Amaral";"NAO";"PT"
"4808";"Vicentinho Alves";"NAO";"PR"
"4808";"João Pedro";"NAO";"PT"
"4808";"Wilson Santiago";"NAO";"PMDB"
"4808";"Benedito de Lira";"NAO";"PP"
"4808";"Mozarildo Cavalcanti";"NAO";"PTB"
"4808";"Fernando Collor";"NAO";"PTB"
"4808";"João Durval";"NAO";"PDT"
"4808";"João Vicente Claudino";"NAO";"PTB"
"4808";"Sérgio Petecão";"NAO";"PMN"
"4808";"Lídice da Mata";"NAO";"PSB"
"4808";"Rodrigo Rollemberg";"NAO";"PSB"
"4808";"Vital do Rêgo";"NAO";"PMDB"
"4808";"Angela Portela";"NAO";"PT"
"4808";"Eduardo Amorim";"NAO";"PSC"
"4808";"Anibal Diniz";"NAO";"PT"
"4808";"Ana Rita";"NAO";"PT"
"4808";"Lobão Filho";"NAO";"PMDB"
"4808";"Garibaldi Alves";"NAO";"PMDB"
"4808";"Clésio Andrade";"NAO";"PR"
"4808";"Marta Suplicy";"NAO";"PT"
"4808";"Ivo Cassol";"NAO";"PP"
"4808";"Gleisi Hoffmann";"NAO";"PT"
"4808";"Humberto Costa";"NAO";"PT"
"4808";"Jorge Viana";"NAO";"PT"
"4808";"Eduardo Braga";"NAO";"PMDB"
"4808";"Paulo Davim";"NAO";"PV"
"4808";"Acir Gurgacz";"NAO";"PDT"
"4808";"Wellington Dias";"NAO";"PT"
"4811";"Lúcia Vânia";"NAO";"PSDB"
"4811";"Roberto Requião";"NAO";"PMDB"
"4811";"Alvaro Dias";"NAO";"PSDB"
"4811";"Kátia Abreu";"NAO";"DEM"
"4811";"Paulo Bauer";"NAO";"PSDB"
"4811";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4811";"Demóstenes Torres";"NAO";"DEM"
"4811";"Cícero Lucena";"NAO";"PSDB"
"4811";"Jarbas Vasconcelos";"NAO";"PMDB"
"4811";"Cyro Miranda";"NAO";"PSDB"
"4812";"Aécio Neves";"NAO";"PSDB"
"4812";"Lúcia Vânia";"NAO";"PSDB"
"4812";"Roberto Requião";"NAO";"PMDB"
"4812";"Alvaro Dias";"NAO";"PSDB"
"4812";"Kátia Abreu";"NAO";"DEM"
"4812";"Paulo Bauer";"NAO";"PSDB"
"4812";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4812";"Demóstenes Torres";"NAO";"DEM"
"4812";"Flexa Ribeiro";"NAO";"PSDB"
"4812";"Cícero Lucena";"NAO";"PSDB"
"4812";"Jayme Campos";"NAO";"DEM"
"4812";"Jarbas Vasconcelos";"NAO";"PMDB"
"4812";"Cyro Miranda";"NAO";"PSDB"
"4813";"Aécio Neves";"NAO";"PSDB"
"4813";"Lúcia Vânia";"NAO";"PSDB"
"4813";"Alvaro Dias";"NAO";"PSDB"
"4813";"Kátia Abreu";"NAO";"DEM"
"4813";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4813";"Flexa Ribeiro";"NAO";"PSDB"
"4813";"Cyro Miranda";"NAO";"PSDB"
"4813";"Randolfe Rodrigues";"NAO";"PSOL"
"4820";"Itamar Franco";"NAO";"PPS"
"4820";"Aécio Neves";"NAO";"PSDB"
"4820";"Marisa Serrano";"NAO";"PSDB"
"4820";"Ricardo Ferraço";"NAO";"PMDB"
"4820";"Alvaro Dias";"NAO";"PSDB"
"4820";"Maria do Carmo Alves";"NAO";"DEM"
"4820";"Paulo Bauer";"NAO";"PSDB"
"4820";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4820";"Demóstenes Torres";"NAO";"DEM"
"4820";"Flexa Ribeiro";"NAO";"PSDB"
"4820";"Mário Couto";"NAO";"PSDB"
"4820";"Jarbas Vasconcelos";"NAO";"PMDB"
"4820";"Cyro Miranda";"NAO";"PSDB"
"4820";"Randolfe Rodrigues";"NAO";"PSOL"
"4823";"José Agripino";"NAO";"DEM"
"4823";"Blairo Maggi";"NAO";"PR"
"4823";"Itamar Franco";"NAO";"PPS"
"4823";"Armando Monteiro";"NAO";"PTB"
"4823";"Aécio Neves";"NAO";"PSDB"
"4823";"Lúcia Vânia";"NAO";"PSDB"
"4823";"Casildo Maldaner";"NAO";"PMDB"
"4823";"Roberto Requião";"NAO";"PMDB"
"4823";"Ricardo Ferraço";"NAO";"PMDB"
"4823";"Alvaro Dias";"NAO";"PSDB"
"4823";"Waldemir Moka";"NAO";"PMDB"
"4823";"Kátia Abreu";"NAO";"DEM"
"4823";"Paulo Bauer";"NAO";"PSDB"
"4823";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4823";"Demóstenes Torres";"NAO";"DEM"
"4823";"Flexa Ribeiro";"NAO";"PSDB"
"4823";"Jayme Campos";"NAO";"DEM"
"4823";"Cyro Miranda";"NAO";"PSDB"
"4823";"Pedro Taques";"NAO";"PDT"
"4844";"José Agripino";"NAO";"DEM"
"4844";"Aécio Neves";"NAO";"PSDB"
"4844";"Lúcia Vânia";"NAO";"PSDB"
"4844";"Ricardo Ferraço";"NAO";"PMDB"
"4844";"Alvaro Dias";"NAO";"PSDB"
"4844";"Maria do Carmo Alves";"NAO";"DEM"
"4844";"Paulo Bauer";"NAO";"PSDB"
"4844";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4844";"Demóstenes Torres";"NAO";"DEM"
"4844";"Flexa Ribeiro";"NAO";"PSDB"
"4844";"Jayme Campos";"NAO";"DEM"
"4844";"Mário Couto";"NAO";"PSDB"
"4844";"Jarbas Vasconcelos";"NAO";"PMDB"
"4844";"Cyro Miranda";"NAO";"PSDB"
"4844";"Ataídes Oliveira";"NAO";"PSDB"
"4844";"Randolfe Rodrigues";"NAO";"PSOL"
"4844";"Ana Amélia";"NAO";"PP"
"4848";"José Sarney";"NAO";"PMDB"
"4848";"Epitácio Cafeteira";"NAO";"PTB"
"4848";"Pedro Simon";"NAO";"PMDB"
"4848";"Paulo Paim";"NAO";"PT"
"4848";"Blairo Maggi";"NAO";"PR"
"4848";"Romero Jucá";"NAO";"PMDB"
"4848";"Eduardo Suplicy";"NAO";"PT"
"4848";"Eunício Oliveira";"NAO";"PMDB"
"4848";"Vanessa Grazziotin";"NAO";"PCdoB"
"4848";"Inácio Arruda";"NAO";"PCdoB"
"4848";"José Pimentel";"NAO";"PT"
"4848";"Roberto Requião";"NAO";"PMDB"
"4848";"Walter Pinheiro";"NAO";"PT"
"4848";"João Alberto Souza";"NAO";"PMDB"
"4848";"Francisco Dornelles";"NAO";"PP"
"4848";"Antonio Carlos Valadares";"NAO";"PSB"
"4848";"Waldemir Moka";"NAO";"PMDB"
"4848";"Geovani Borges";"NAO";"PMDB"
"4848";"João Pedro";"NAO";"PT"
"4848";"Wilson Santiago";"NAO";"PMDB"
"4848";"Mozarildo Cavalcanti";"NAO";"PTB"
"4848";"Fernando Collor";"NAO";"PTB"
"4848";"Jarbas Vasconcelos";"NAO";"PMDB"
"4848";"Lídice da Mata";"NAO";"PSB"
"4848";"Vital do Rêgo";"NAO";"PMDB"
"4848";"Angela Portela";"NAO";"PT"
"4848";"Anibal Diniz";"NAO";"PT"
"4848";"Ana Rita";"NAO";"PT"
"4848";"Clésio Andrade";"NAO";"PR"
"4848";"Luiz Henrique";"NAO";"PMDB"
"4848";"Ivo Cassol";"NAO";"PP"
"4848";"Gleisi Hoffmann";"NAO";"PT"
"4848";"Jorge Viana";"NAO";"PT"
"4848";"Eduardo Braga";"NAO";"PMDB"
"4848";"Paulo Davim";"NAO";"PV"
"4848";"Acir Gurgacz";"NAO";"PDT"
"4848";"Wellington Dias";"NAO";"PT"
"4850";"Aécio Neves";"NAO";"PSDB"
"4850";"Lúcia Vânia";"NAO";"PSDB"
"4850";"Alvaro Dias";"NAO";"PSDB"
"4850";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4850";"Demóstenes Torres";"NAO";"DEM"
"4850";"Fernando Collor";"NAO";"PTB"
"4850";"Jayme Campos";"NAO";"DEM"
"4850";"Mário Couto";"NAO";"PSDB"
"4850";"Cyro Miranda";"NAO";"PSDB"
"4850";"Ataídes Oliveira";"NAO";"PSDB"
"4850";"Marinor Brito";"NAO";"PSOL"
"4850";"Pedro Taques";"NAO";"PDT"
"4850";"Randolfe Rodrigues";"NAO";"PSOL"
"4856";"José Agripino";"NAO";"DEM"
"4856";"Aécio Neves";"NAO";"PSDB"
"4856";"Lúcia Vânia";"NAO";"PSDB"
"4856";"Alvaro Dias";"NAO";"PSDB"
"4856";"Paulo Bauer";"NAO";"PSDB"
"4856";"Aloysio Nunes Ferreira";"NAO";"PSDB"
"4856";"Demóstenes Torres";"NAO";"DEM"
"4856";"Jayme Campos";"NAO";"DEM"
"4856";"Mário Couto";"NAO";"PSDB"
"4856";"Jarbas Vasconcelos";"NAO";"PMDB"
"4856";"Cyro Miranda";"NAO";"PSDB"
"4856";"Ataídes Oliveira";"NAO";"PSDB"
"4856";"Randolfe Rodrigues";"NAO";"PSOL"
"4857";"José Agripino";"NAO";"DEM"
"4857";"Aécio Neves";"NAO";"PSDB"
"4857";"Lúcia Vânia";"NAO";"PSDB"
"4857";"Alvaro Dias";"NAO";"PSDB"
