"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"Acir Gurgacz";"Acir Gurgacz";"PDT";"RO";"4981";"--";"53/54";"sem_foto.jpg"
"Ada Mello";"Ada Mello";"PTB";"AL";"4815";"--";"53/54";"sen_4815.jpg"
"Aecio Neves";"Aecio Neves";"PSDB";"MG";"391";"--";"54/55";"sen_391.jpg"
"Alfredo Nascimento";"Alfredo Nascimento";"PR";"AM";"4527";"--";"53/54";"sen_4527.jpg"
"Aloysio Nunes Ferreira";"Aloysio Nunes Ferreira";"PSDB";"SP";"846";"--";"54/55";"sen_846.jpg"
"Alvaro Dias";"Alvaro Dias";"PSDB";"PR";"945";"--";"53/54";"sen_945.jpg"
"Ana Amelia";"Ana Amelia";"PP";"RS";"4988";"--";"54/55";"sen_4988.jpg"
"Ana Rita";"Ana Rita";"PT";"ES";"4869";"--";"53/54";"sen_4869.jpg"
"Angela Portela";"Angela Portela";"PT";"RR";"4697";"--";"54/55";"sen_4697.jpg"
"Anibal Diniz";"Anibal Diniz";"PT";"AC";"4837";"--";"53/54";"sen_4837.jpg"
"Antonio Carlos Valadares";"Antonio Carlos Valadares";"PSB";"SE";"3";"--";"54/55";"sen_3.jpg"
"Antonio Russo";"Antonio Russo";"PR";"MS";"4891";"--";"53/54";"sen_4891.jpg"
"Armando Monteiro";"Armando Monteiro";"PTB";"PE";"715";"--";"54/55";"sen_715.jpg"
"Ataides Oliveira";"Ataides Oliveira";"PSDB";"TO";"5164";"--";"54/55";"sen_5164.jpg"
"Benedito de Lira";"Benedito de Lira";"PP";"AL";"3823";"--";"54/55";"sen_3823.jpg"
"Blairo Maggi";"Blairo Maggi";"PR";"MT";"111";"--";"54/55";"sen_111.jpg"
"Carlos Dunga";"Carlos Dunga";"PTB";"PB";"704";"--";"53/54";"sen_704.jpg"
"Casildo Maldaner";"Casildo Maldaner";"PMDB";"SC";"13";"--";"53/54";"sen_13.jpg"
"Cassio Cunha Lima";"Cassio Cunha Lima";"PSDB";"PB";"5197";"--";"54/55";"sen_5197.jpg"
"Cicero Lucena";"Cicero Lucena";"PSDB";"PB";"4529";"--";"53/54";"sen_4529.jpg"
"Ciro Nogueira";"Ciro Nogueira";"PP";"PI";"739";"--";"54/55";"sen_739.jpg"
"Clesio Andrade";"Clesio Andrade";"PMDB";"MG";"4895";"--";"53/54";"sen_4895.jpg"
"Clovis Fecury";"Clovis Fecury";"DEM";"MA";"3881";"--";"54/55";"sen_3881.jpg"
"Cristovam Buarque";"Cristovam Buarque";"PDT";"DF";"3398";"--";"54/55";"sen_3398.jpg"
"Cyro Miranda";"Cyro Miranda";"PSDB";"GO";"4877";"--";"53/54";"sen_4877.jpg"
"Delcidio do Amaral";"Delcidio do Amaral";"PT";"MS";"3360";"--";"54/55";"sen_3360.jpg"
"Demostenes Torres";"Demostenes Torres";"S/PARTIDO";"GO";"3399";"--";"54/55";"sen_3399.jpg"
"Edison Lobao";"Edison Lobao";"PMDB";"MA";"16";"--";"54/55";"sen_16.jpg"
"Eduardo Amorim";"Eduardo Amorim";"PSC";"SE";"4721";"--";"54/55";"sen_4721.jpg"
"Eduardo Braga";"Eduardo Braga";"PMDB";"AM";"4994";"--";"54/55";"sen_4994.jpg"
"Eduardo Lopes";"Eduardo Lopes";"PRB";"RJ";"4767";"--";"54/55";"sen_4767.jpg"
"Eduardo Suplicy";"Eduardo Suplicy";"PT";"SP";"17";"--";"53/54";"sen_17.jpg"
"Eliseu Resende";"Eliseu Resende";"DEM";"MG";"394";"--";"53/54";"sen_394.jpg"
"Epitacio Cafeteira";"Epitacio Cafeteira";"PTB";"MA";"20";"--";"53/54";"sen_20.jpg"
"Euclydes Mello";"Euclydes Mello";"PRB";"AL";"4780";"--";"53/54";"sen_4780.jpg"
"Eunicio Oliveira";"Eunicio Oliveira";"PMDB";"CE";"612";"--";"54/55";"sen_612.jpg"
"Expedito Junior";"Expedito Junior";"PSDB";"RO";"1189";"--";"53/54";"sen_1189.jpg"
"Fernando Collor";"Fernando Collor";"PTB";"AL";"4525";"--";"53/54";"sen_4525.jpg"
"Flexa Ribeiro";"Flexa Ribeiro";"PSDB";"PA";"3634";"--";"54/55";"sen_3634.jpg"
"Francisco Dornelles";"Francisco Dornelles";"PP";"RJ";"765";"--";"53/54";"sen_765.jpg"
"Garibaldi Alves";"Garibaldi Alves";"PMDB";"RN";"4935";"--";"53/54";"sen_4935.jpg"
"Garibaldi Alves Filho";"Garibaldi Alves Filho";"PMDB";"RN";"87";"--";"54/55";"sen_87.jpg"
"Geovani Borges";"Geovani Borges";"PMDB";"AP";"4522";"--";"54/55";"sen_4522.jpg"
"Gilvam Borges";"Gilvam Borges";"PMDB";"AP";"30";"--";"54/55";"sen_30.jpg"
"Gim Argello";"Gim Argello";"PTB";"DF";"4776";"--";"53/54";"sem_foto.jpg"
"Gleisi Hoffmann";"Gleisi Hoffmann";"PT";"PR";"5006";"--";"54/55";"sen_5006.jpg"
"Humberto Costa";"Humberto Costa";"PT";"PE";"5008";"--";"54/55";"sen_5008.jpg"
"Inacio Arruda";"Inacio Arruda";"PC DO B";"CE";"613";"--";"53/54";"sen_613.jpg"
"Itamar Franco";"Itamar Franco";"PPS";"MG";"1754";"--";"54/55";"sen_1754.jpg"
"Ivo Cassol";"Ivo Cassol";"PP";"RO";"5004";"--";"54/55";"sen_5004.jpg"
"Ivonete Dantas";"Ivonete Dantas";"PMDB";"RN";"4937";"--";"53/54";"sen_4937.jpg"
"Jader Barbalho";"Jader Barbalho";"PMDB";"PA";"35";"--";"54/55";"sen_35.jpg"
"Jarbas Vasconcelos";"Jarbas Vasconcelos";"PMDB";"PE";"4545";"--";"53/54";"sen_4545.jpg"
"Jayme Campos";"Jayme Campos";"DEM";"MT";"4531";"--";"53/54";"sen_4531.jpg"
"Joao Alberto Souza";"Joao Alberto Souza";"PMDB";"MA";"950";"--";"54/55";"sen_950.jpg"
"Joao Capiberibe";"Joao Capiberibe";"PSB";"AP";"3394";"--";"54/55";"sen_3394.jpg"
"Joao Durval";"Joao Durval";"PDT";"BA";"4537";"--";"53/54";"sen_4537.jpg"
"Joao Pedro";"Joao Pedro";"PT";"AM";"4774";"--";"53/54";"sen_4774.jpg"
"Joao Ribeiro";"Joao Ribeiro";"PR";"TO";"916";"--";"54/55";"sen_916.jpg"
"Joao Vicente Claudino";"Joao Vicente Claudino";"PTB";"PI";"4541";"--";"53/54";"sen_4541.jpg"
"Joaquim Roriz";"Joaquim Roriz";"PMDB";"DF";"4533";"--";"53/54";"sen_4533.jpg"
