"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"5331";"Jose Agripino";"DEM";"SIM"
"5331";"Edison Lobao";"PMDB";"SIM"
"5331";"Renan Calheiros";"PMDB";"NAO VOTOU"
"5331";"Paulo Paim";"PT";"SIM"
"5331";"Blairo Maggi";"PR";"SIM"
"5331";"Romero Juca";"PMDB";"SIM"
"5331";"Ronaldo Caiado";"DEM";"NAO VOTOU"
"5331";"Eunicio Oliveira";"PMDB";"SIM"
"5331";"Roberto Rocha";"PSB";"SIM"
"5331";"Paulo Rocha";"PT";"SIM"
"5331";"Aecio Neves";"PSDB";"SIM"
"5331";"Vanessa Grazziotin";"PCdoB";"NAO"
"5331";"Jose Pimentel";"PT";"SIM"
"5331";"Lucia Vania";"PSDB";"SIM"
"5331";"Ciro Nogueira";"PP";"NAO"
"5331";"Roberto Requiao";"PMDB";"SIM"
"5331";"Walter Pinheiro";"PT";"SIM"
"5331";"Ricardo Ferraco";"PMDB";"SIM"
"5331";"Joao Alberto Souza";"PMDB";"NAO VOTOU"
"5331";"Alvaro Dias";"PSDB";"SIM"
"5331";"Maria do Carmo Alves";"DEM";"SIM"
"5331";"Antonio Carlos Valadares";"PSB";"SIM"
"5331";"Magno Malta";"PR";"NAO"
"5331";"Waldemir Moka";"PMDB";"SIM"
"5331";"Raimundo Lira";"PMDB";"SIM"
"5331";"Rose de Freitas";"PMDB";"NAO VOTOU"
"5331";"Lindbergh Farias";"PT";"NAO"
"5331";"Paulo Bauer";"PSDB";"NAO VOTOU"
"5331";"Aloysio Nunes Ferreira";"PSDB";"SIM"
"5331";"Jose Serra";"PSDB";"SIM"
"5331";"Joao Capiberibe";"PSB";"SIM"
"5331";"Tasso Jereissati";"PSDB";"SIM"
"5331";"Jose Maranhao";"PMDB";"NAO VOTOU"
"5331";"Valdir Raupp";"PMDB";"SIM"
"5331";"Marcelo Crivella";"PRB";"ABSTENCAO"
"5331";"Delcidio do Amaral";"PT";"SIM"
"5331";"Vicentinho Alves";"PR";"SIM"
"5331";"Benedito de Lira";"PP";"SIM"
"5331";"Cristovam Buarque";"PDT";"SIM"
"5331";"Garibaldi Alves Filho";"PMDB";"SIM"
"5331";"Flexa Ribeiro";"PSDB";"SIM"
"5331";"Fernando Collor";"PTB";"SIM"
"5331";"Gladson Cameli";"PP";"NAO VOTOU"
"5331";"Sergio Petecao";"PSD";"NAO VOTOU"
"5331";"Angela Portela";"PT";"SIM"
"5331";"Eduardo Amorim";"PSC";"SIM"
"5331";"Zeze Perrella";"PDT";"SIM"
"5331";"Ataides Oliveira";"PSDB";"SIM"
"5331";"Marta Suplicy";"PT";"SIM"
"5331";"Luiz Henrique";"PMDB";"SIM"
"5331";"Ivo Cassol";"PP";"SIM"
"5331";"Gleisi Hoffmann";"PT";"NAO VOTOU"
"5331";"Humberto Costa";"PT";"SIM"
"5331";"Randolfe Rodrigues";"PSOL";"SIM"
"5331";"Sandra Braga";"PMDB";"SIM"
"5331";"Jorge Viana";"PT";"PRESIDENTE"
"5331";"Cassio Cunha Lima";"PSDB";"SIM"
"5331";"Acir Gurgacz";"PDT";"SIM"
"5331";"Ana Amelia";"PP";"SIM"
"5331";"Fernando Bezerra Coelho";"PSB";"SIM"
"5331";"Douglas Cintra";"PTB";"SIM"
"5331";"Reguffe";"PDT";"SIM"
"5331";"Otto Alencar";"PSD";"SIM"
"5331";"Omar Aziz";"PSD";"SIM"
"5331";"Simone Tebet";"PMDB";"SIM"
"5331";"Antonio Anastasia";"PSDB";"SIM"
"5331";"Elmano Ferrer";"PTB";"SIM"
"5331";"Lasier Martins";"PDT";"SIM"
"5331";"Telmario Mota";"PDT";"NAO"
"5331";"Wilder Morais";"DEM";"SIM"
"5331";"Donizeti Nogueira";"PT";"SIM"
"5331";"Wellington Fagundes";"PR";"SIM"
"5331";"Helio Jose";"PSD";"SIM"
"5331";"Fernando Ribeiro";"PMDB";"SIM"
"5331";"Jose Medeiros";"PPS";"NAO"
"5331";"Fatima Bezerra";"PT";"ABSTENCAO"
"5331";"Davi Alcolumbre";"DEM";"NAO"
"5331";"Lidice da Mata";"PSB";"SIM"
"5331";"Regina Sousa";"PT";"SIM"
"5331";"Romario";"PSB";"NAO VOTOU"
"5331";"Dario Berger";"PMDB";"SIM"
"5338";"Jose Agripino";"DEM";"SIM"
"5338";"Edison Lobao";"PMDB";"NAO VOTOU"
"5338";"Renan Calheiros";"PMDB";"NAO VOTOU"
"5338";"Paulo Paim";"PT";"SIM"
"5338";"Blairo Maggi";"PR";"NAO VOTOU"
"5338";"Romero Juca";"PMDB";"NAO VOTOU"
"5338";"Ronaldo Caiado";"DEM";"NAO VOTOU"
"5338";"Eunicio Oliveira";"PMDB";"NAO VOTOU"
"5338";"Roberto Rocha";"PSB";"SIM"
"5338";"Paulo Rocha";"PT";"SIM"
"5338";"Aecio Neves";"PSDB";"SIM"
"5338";"Vanessa Grazziotin";"PCdoB";"NAO VOTOU"
"5338";"Jose Pimentel";"PT";"SIM"
"5338";"Lucia Vania";"PSDB";"SIM"
"5338";"Ciro Nogueira";"PP";"NAO VOTOU"
"5338";"Roberto Requiao";"PMDB";"SIM"
"5338";"Walter Pinheiro";"PT";"SIM"
"5338";"Ricardo Ferraco";"PMDB";"SIM"
"5338";"Joao Alberto Souza";"PMDB";"NAO VOTOU"
"5338";"Alvaro Dias";"PSDB";"NAO VOTOU"
"5338";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"5338";"Antonio Carlos Valadares";"PSB";"NAO VOTOU"
"5338";"Magno Malta";"PR";"SIM"
"5338";"Waldemir Moka";"PMDB";"SIM"
"5338";"Raimundo Lira";"PMDB";"SIM"
"5338";"Rose de Freitas";"PMDB";"SIM"
"5338";"Lindbergh Farias";"PT";"SIM"
"5338";"Paulo Bauer";"PSDB";"NAO VOTOU"
"5338";"Aloysio Nunes Ferreira";"PSDB";"SIM"
"5338";"Jose Serra";"PSDB";"SIM"
"5338";"Joao Capiberibe";"PSB";"NAO VOTOU"
"5338";"Tasso Jereissati";"PSDB";"SIM"
"5338";"Jose Maranhao";"PMDB";"NAO VOTOU"
"5338";"Valdir Raupp";"PMDB";"SIM"
"5338";"Marcelo Crivella";"PRB";"NAO VOTOU"
"5338";"Delcidio do Amaral";"PT";"SIM"
"5338";"Vicentinho Alves";"PR";"NAO VOTOU"
"5338";"Benedito de Lira";"PP";"SIM"
"5338";"Cristovam Buarque";"PDT";"NAO VOTOU"
"5338";"Garibaldi Alves Filho";"PMDB";"SIM"
"5338";"Flexa Ribeiro";"PSDB";"SIM"
"5338";"Fernando Collor";"PTB";"NAO VOTOU"
"5338";"Gladson Cameli";"PP";"NAO VOTOU"
"5338";"Sergio Petecao";"PSD";"SIM"
"5338";"Angela Portela";"PT";"SIM"
"5338";"Eduardo Amorim";"PSC";"SIM"
"5338";"Zeze Perrella";"PDT";"NAO VOTOU"
"5338";"Ataides Oliveira";"PSDB";"SIM"
"5338";"Marta Suplicy";"PT";"SIM"
"5338";"Luiz Henrique";"PMDB";"SIM"
"5338";"Ivo Cassol";"PP";"SIM"
"5338";"Gleisi Hoffmann";"PT";"NAO VOTOU"
"5338";"Humberto Costa";"PT";"NAO VOTOU"
"5338";"Randolfe Rodrigues";"PSOL";"SIM"
"5338";"Sandra Braga";"PMDB";"SIM"
"5338";"Jorge Viana";"PT";"NAO VOTOU"
"5338";"Cassio Cunha Lima";"PSDB";"NAO VOTOU"
"5338";"Acir Gurgacz";"PDT";"SIM"
"5338";"Ana Amelia";"PP";"SIM"
"5338";"Fernando Bezerra Coelho";"PSB";"SIM"
"5338";"Douglas Cintra";"PTB";"SIM"
"5338";"Reguffe";"PDT";"SIM"
"5338";"Otto Alencar";"PSD";"NAO"
"5338";"Omar Aziz";"PSD";"NAO VOTOU"
"5338";"Simone Tebet";"PMDB";"SIM"
"5338";"Antonio Anastasia";"PSDB";"SIM"
"5338";"Elmano Ferrer";"PTB";"SIM"
"5338";"Lasier Martins";"PDT";"SIM"
"5338";"Telmario Mota";"PDT";"NAO VOTOU"
"5338";"Wilder Morais";"DEM";"SIM"
"5338";"Donizeti Nogueira";"PT";"SIM"
"5338";"Wellington Fagundes";"PR";"SIM"
"5338";"Helio Jose";"PSD";"SIM"
"5338";"Fernando Ribeiro";"PMDB";"SIM"
"5338";"Jose Medeiros";"PPS";"SIM"
"5338";"Fatima Bezerra";"PT";"SIM"
"5338";"Davi Alcolumbre";"DEM";"SIM"
"5338";"Lidice da Mata";"PSB";"SIM"
"5338";"Regina Sousa";"PT";"SIM"
"5338";"Romario";"PSB";"SIM"
"5338";"Dario Berger";"PMDB";"NAO VOTOU"
"5340";"Jose Agripino";"DEM";"SIM"
"5340";"Edison Lobao";"PMDB";"SIM"
"5340";"Renan Calheiros";"PMDB";"PRESIDENTE"
"5340";"Paulo Paim";"PT";"SIM"
"5340";"Blairo Maggi";"PR";"SIM"
"5340";"Romero Juca";"PMDB";"NAO VOTOU"
"5340";"Ronaldo Caiado";"DEM";"SIM"
"5340";"Eunicio Oliveira";"PMDB";"SIM"
"5340";"Roberto Rocha";"PSB";"SIM"
"5340";"Paulo Rocha";"PT";"SIM"
"5340";"Aecio Neves";"PSDB";"SIM"
"5340";"Vanessa Grazziotin";"PCdoB";"NAO VOTOU"
"5340";"Jose Pimentel";"PT";"SIM"
"5340";"Lucia Vania";"PSDB";"SIM"
"5340";"Ciro Nogueira";"PP";"NAO"
"5340";"Roberto Requiao";"PMDB";"SIM"
"5340";"Walter Pinheiro";"PT";"SIM"
"5340";"Ricardo Ferraco";"PMDB";"NAO VOTOU"
"5340";"Joao Alberto Souza";"PMDB";"NAO VOTOU"
"5340";"Alvaro Dias";"PSDB";"NAO VOTOU"
"5340";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"5340";"Antonio Carlos Valadares";"PSB";"SIM"
"5340";"Magno Malta";"PR";"SIM"
"5340";"Waldemir Moka";"PMDB";"SIM"
"5340";"Raimundo Lira";"PMDB";"SIM"
"5340";"Rose de Freitas";"PMDB";"SIM"
"5340";"Lindbergh Farias";"PT";"NAO"
"5340";"Paulo Bauer";"PSDB";"NAO VOTOU"
"5340";"Aloysio Nunes Ferreira";"PSDB";"NAO VOTOU"
"5340";"Jose Serra";"PSDB";"SIM"
"5340";"Joao Capiberibe";"PSB";"SIM"
"5340";"Tasso Jereissati";"PSDB";"SIM"
"5340";"Jose Maranhao";"PMDB";"SIM"
"5340";"Valdir Raupp";"PMDB";"SIM"
"5340";"Marcelo Crivella";"PRB";"NAO VOTOU"
"5340";"Delcidio do Amaral";"PT";"SIM"
"5340";"Vicentinho Alves";"PR";"SIM"
"5340";"Benedito de Lira";"PP";"SIM"
"5340";"Cristovam Buarque";"PDT";"NAO VOTOU"
"5340";"Garibaldi Alves Filho";"PMDB";"SIM"
"5340";"Flexa Ribeiro";"PSDB";"SIM"
"5340";"Fernando Collor";"PTB";"NAO VOTOU"
"5340";"Gladson Cameli";"PP";"NAO VOTOU"
"5340";"Sergio Petecao";"PSD";"NAO VOTOU"
"5340";"Angela Portela";"PT";"SIM"
"5340";"Eduardo Amorim";"PSC";"SIM"
"5340";"Zeze Perrella";"PDT";"SIM"
"5340";"Ataides Oliveira";"PSDB";"SIM"
"5340";"Marta Suplicy";"PT";"SIM"
"5340";"Luiz Henrique";"PMDB";"SIM"
"5340";"Ivo Cassol";"PP";"SIM"
"5340";"Gleisi Hoffmann";"PT";"SIM"
"5340";"Humberto Costa";"PT";"SIM"
"5340";"Randolfe Rodrigues";"PSOL";"SIM"
"5340";"Sandra Braga";"PMDB";"SIM"
"5340";"Jorge Viana";"PT";"SIM"
"5340";"Cassio Cunha Lima";"PSDB";"SIM"
"5340";"Acir Gurgacz";"PDT";"SIM"
"5340";"Ana Amelia";"PP";"SIM"
"5340";"Fernando Bezerra Coelho";"PSB";"SIM"
"5340";"Douglas Cintra";"PTB";"SIM"
"5340";"Reguffe";"PDT";"SIM"
"5340";"Otto Alencar";"PSD";"SIM"
"5340";"Omar Aziz";"PSD";"SIM"
"5340";"Simone Tebet";"PMDB";"SIM"
"5340";"Antonio Anastasia";"PSDB";"SIM"
"5340";"Elmano Ferrer";"PTB";"SIM"
"5340";"Lasier Martins";"PDT";"SIM"
"5340";"Telmario Mota";"PDT";"SIM"
"5340";"Wilder Morais";"DEM";"SIM"
"5340";"Donizeti Nogueira";"PT";"SIM"
"5340";"Wellington Fagundes";"PR";"SIM"
"5340";"Helio Jose";"PSD";"SIM"
"5340";"Fernando Ribeiro";"PMDB";"NAO VOTOU"
"5340";"Jose Medeiros";"PPS";"NAO"
"5340";"Fatima Bezerra";"PT";"ABSTENCAO"
"5340";"Davi Alcolumbre";"DEM";"SIM"
"5340";"Lidice da Mata";"PSB";"SIM"
"5340";"Regina Sousa";"PT";"SIM"
"5340";"Romario";"PSB";"SIM"
"5340";"Dario Berger";"PMDB";"SIM"
"5343";"Jose Agripino";"DEM";"SIM"
"5343";"Edison Lobao";"PMDB";"SIM"
"5343";"Renan Calheiros";"PMDB";"PRESIDENTE"
"5343";"Paulo Paim";"PT";"NAO VOTOU"
"5343";"Blairo Maggi";"PR";"SIM"
"5343";"Romero Juca";"PMDB";"SIM"
"5343";"Ronaldo Caiado";"DEM";"SIM"
"5343";"Eunicio Oliveira";"PMDB";"SIM"
"5343";"Roberto Rocha";"PSB";"SIM"
"5343";"Paulo Rocha";"PT";"SIM"
"5343";"Aecio Neves";"PSDB";"SIM"
"5343";"Vanessa Grazziotin";"PCdoB";"SIM"
"5343";"Jose Pimentel";"PT";"SIM"
"5343";"Lucia Vania";"PSDB";"SIM"
"5343";"Ciro Nogueira";"PP";"SIM"
"5343";"Roberto Requiao";"PMDB";"SIM"
"5343";"Walter Pinheiro";"PT";"SIM"
"5343";"Ricardo Ferraco";"PMDB";"SIM"
"5343";"Joao Alberto Souza";"PMDB";"SIM"
"5343";"Alvaro Dias";"PSDB";"SIM"
"5343";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"5343";"Antonio Carlos Valadares";"PSB";"SIM"
"5343";"Magno Malta";"PR";"SIM"
"5343";"Waldemir Moka";"PMDB";"SIM"
"5343";"Raimundo Lira";"PMDB";"SIM"
"5343";"Rose de Freitas";"PMDB";"SIM"
"5343";"Lindbergh Farias";"PT";"NAO"
"5343";"Paulo Bauer";"PSDB";"NAO VOTOU"
"5343";"Aloysio Nunes Ferreira";"PSDB";"NAO"
"5343";"Jose Serra";"PSDB";"NAO"
"5343";"Joao Capiberibe";"PSB";"SIM"
"5343";"Tasso Jereissati";"PSDB";"SIM"
"5343";"Jose Maranhao";"PMDB";"NAO VOTOU"
"5343";"Valdir Raupp";"PMDB";"SIM"
"5343";"Marcelo Crivella";"PRB";"NAO"
"5343";"Delcidio do Amaral";"PT";"SIM"
"5343";"Vicentinho Alves";"PR";"SIM"
"5343";"Benedito de Lira";"PP";"NAO VOTOU"
"5343";"Cristovam Buarque";"PDT";"NAO VOTOU"
"5343";"Garibaldi Alves Filho";"PMDB";"SIM"
"5343";"Flexa Ribeiro";"PSDB";"SIM"
"5343";"Fernando Collor";"PTB";"NAO VOTOU"
"5343";"Gladson Cameli";"PP";"SIM"
"5343";"Sergio Petecao";"PSD";"SIM"
"5343";"Angela Portela";"PT";"SIM"
"5343";"Eduardo Amorim";"PSC";"SIM"
"5343";"Zeze Perrella";"PDT";"SIM"
"5343";"Ataides Oliveira";"PSDB";"SIM"
"5343";"Marta Suplicy";"PT";"NAO"
"5343";"Luiz Henrique";"PMDB";"ABSTENCAO"
"5343";"Ivo Cassol";"PP";"SIM"
"5343";"Gleisi Hoffmann";"PT";"SIM"
"5343";"Humberto Costa";"PT";"SIM"
"5343";"Randolfe Rodrigues";"PSOL";"SIM"
"5343";"Sandra Braga";"PMDB";"SIM"
"5343";"Jorge Viana";"PT";"SIM"
"5343";"Cassio Cunha Lima";"PSDB";"SIM"
"5343";"Acir Gurgacz";"PDT";"SIM"
"5343";"Ana Amelia";"PP";"SIM"
"5343";"Fernando Bezerra Coelho";"PSB";"SIM"
"5343";"Douglas Cintra";"PTB";"SIM"
"5343";"Reguffe";"PDT";"SIM"
"5343";"Otto Alencar";"PSD";"SIM"
"5343";"Omar Aziz";"PSD";"SIM"
"5343";"Simone Tebet";"PMDB";"SIM"
"5343";"Antonio Anastasia";"PSDB";"SIM"
"5343";"Elmano Ferrer";"PTB";"SIM"
"5343";"Lasier Martins";"PDT";"NAO"
"5343";"Telmario Mota";"PDT";"NAO VOTOU"
"5343";"Wilder Morais";"DEM";"SIM"
"5343";"Donizeti Nogueira";"PT";"SIM"
"5343";"Wellington Fagundes";"PR";"SIM"
"5343";"Helio Jose";"PSD";"SIM"
"5343";"Fernando Ribeiro";"PMDB";"NAO VOTOU"
"5343";"Jose Medeiros";"PPS";"SIM"
"5343";"Fatima Bezerra";"PT";"SIM"
"5343";"Davi Alcolumbre";"DEM";"SIM"
"5343";"Lidice da Mata";"PSB";"SIM"
"5343";"Regina Sousa";"PT";"SIM"
"5343";"Romario";"PSB";"NAO"
"5343";"Dario Berger";"PMDB";"SIM"
"5347";"Jose Agripino";"DEM";"NAO"
"5347";"Edison Lobao";"PMDB";"NAO VOTOU"
"5347";"Renan Calheiros";"PMDB";"PRESIDENTE"
"5347";"Jader Barbalho";"PMDB";"NAO"
"5347";"Paulo Paim";"PT";"SIM"
"5347";"Blairo Maggi";"PR";"ABSTENCAO"
"5347";"Romero Juca";"PMDB";"SIM"
"5347";"Ronaldo Caiado";"DEM";"NAO"
"5347";"Eunicio Oliveira";"PMDB";"NAO"
"5347";"Roberto Rocha";"PSB";"SIM"
"5347";"Paulo Rocha";"PT";"SIM"
"5347";"Aecio Neves";"PSDB";"NAO VOTOU"
"5347";"Vanessa Grazziotin";"PCdoB";"SIM"
"5347";"Jose Pimentel";"PT";"SIM"
"5347";"Lucia Vania";"PSDB";"NAO"
"5347";"Ciro Nogueira";"PP";"NAO"
"5347";"Roberto Requiao";"PMDB";"NAO"
"5347";"Walter Pinheiro";"PT";"SIM"
"5347";"Ricardo Ferraco";"PMDB";"NAO"
"5347";"Joao Alberto Souza";"PMDB";"NAO VOTOU"
"5347";"Alvaro Dias";"PSDB";"NAO"
"5347";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"5347";"Antonio Carlos Valadares";"PSB";"SIM"
"5347";"Magno Malta";"PR";"NAO VOTOU"
"5347";"Waldemir Moka";"PMDB";"NAO"
"5347";"Raimundo Lira";"PMDB";"NAO"
"5347";"Rose de Freitas";"PMDB";"NAO"
"5347";"Lindbergh Farias";"PT";"SIM"
"5347";"Paulo Bauer";"PSDB";"NAO VOTOU"
"5347";"Aloysio Nunes Ferreira";"PSDB";"NAO VOTOU"
"5347";"Jose Serra";"PSDB";"NAO VOTOU"
"5347";"Joao Capiberibe";"PSB";"SIM"
"5347";"Tasso Jereissati";"PSDB";"NAO"
"5347";"Jose Maranhao";"PMDB";"NAO VOTOU"
"5347";"Valdir Raupp";"PMDB";"NAO"
"5347";"Marcelo Crivella";"PRB";"NAO VOTOU"
"5347";"Delcidio do Amaral";"PT";"SIM"
"5347";"Vicentinho Alves";"PR";"NAO"
"5347";"Benedito de Lira";"PP";"NAO"
"5347";"Cristovam Buarque";"PDT";"NAO VOTOU"
"5347";"Garibaldi Alves Filho";"PMDB";"NAO"
