"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM"
"2523";"040205";"10:00:00";"SIM";"MPV";"00136";"2003";"Acrescenta artigo à Lei nº 8884, de 11 de junho de 1994, que transforma o Conselho Administrativo de Defesa Econômica - CADE em Autarquia e dispõe sobre a prevenção e a repressão às infrações contra a ordem econômica.";"Decisão da Presidência em Questão de Ordem.";""
"2524";"040205";"10:00:00";"SIM";"MPV";"00136";"2003";"Acrescenta artigo à Lei nº 8884, de 11 de junho de 1994, que transforma o Conselho Administrativo de Defesa Econômica - CADE em Autarquia e dispõe sobre a prevenção e a repressão às infrações contra a ordem econômica.";"Medida Provisória 136, de 2003.";""
"2543";"040309";"14:30:00";"NAO";"MPV";"00144";"2003";"Dispõe sobre a comercialização de energia elétrica, altera as Leis nºs 5655, de 20 de maio de 1971, 8631, de 04 de março de 1993, 9074, de 07 de julho de 1995, 9427, de 26 de dezembro de 1996, 9478, de 06 de agosto de 1997, 9648, de 27 de maio de 1998, 9991, de 24 de julho de 2000, 10438, de 26 de abril de 2002, e dá outras providências.
      
      
                                                (Volume - V)";"Emenda nº 217 à Medida Provisória nº 144, de 2003.";""
"2544";"040309";"14:30:00";"NAO";"PLV";"00002";"2004";"Autoriza a criação da Empresa de Pesquisa Energética - EPE e dá outras providências.";"Requerimento nº 267, de 2004, que requer votação em separado da Emenda nº 38, do Relator, ao Projeto de Lei de Conversão nº 2, de 2004, oriundo da Medida Provisória nº 145, de 2003.";""
"2564";"040317";"14:30:00";"SIM";"PLV";"00010";"2004";"Institui o Sistema Nacional de Avaliação da Educação Superior - Sinaes e dá outras providências.";"Projeto de Lei de Conversão nº 10, de 2004 (MPV 147/2003).";""
"2583";"040427";"14:30:00";"SIM";"MPV";"00163";"2004";"Altera a Lei nº 10683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, e dá outras providências.";"Projeto de Lei de Conversão nº 20, de 2004 (MPV  163/2004).";""
"2603";"040428";"11:00:00";"SIM";"MPV";"00164";"2004";"Dispõe sobre a Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público e a Contribuição para o Financiamento da Seguridade Social incidentes sobre a importação de bens e serviços, e dá outras providências.
      
                                                (Volume IV)";"Projeto de Lei de Conversão nº 25, de 2004 (MPV 164/2004).";""
"2623";"040505";"14:30:00";"SIM";"PLV";"00022";"2004";"Proíbe a exploração de todas as modalidades de jogos de bingo, bem como os jogos em máquinas eletrônicas, eletromecânicas ou mecânicas conhecidas como ""caça-níqueis"", independentemente dos nomes de fantasia, e dá outras providências.";"Pressupostos constitucionais de relevância e urgência (MPV 168/2004).";""
"2624";"040505";"14:30:00";"SIM";"PRS";"00068";"2003";"Autoriza a Prefeitura Municipal de São Paulo a contratar operação de crédito externo, com garantia da República Federativa do Brasil, com o Banco Interamericano de Desenvolvimento - BID, no valor de US$ 100,400,000.00 (cem milhões e quatrocentos mil dólares dos Estados Unidos da América), de principal, destinada a Financiar, parcialmente, o Programa de Reabilitação da Área Central do Município de São Paulo - PROCENTRO.";"Projeto de Resolução nº 68, de 2003.";""
"2643";"040519";"10:00:00";"SIM";"PLV";"00027";"2004";"Dispõe sobre a aplicação de disposições da Emenda Constitucional nº 41, de 19 de dezembro de 2003, altera dispositivos das Leis nºs 9717, de 27 de novembro de 1998, 9783, de 28 de janeiro de 1999, 8213, de 24 de julho de 1991, 9532, de 10 de dezembro de 1997, e dá outras providências.";"Parecer nº 468, de 2004 - PLEN, quanto aos pressupostos de urgência, relevância e adequação financeira e orçamentária da Medida Provisória nº 167, de 2004.";""
