"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"4795";"José Sarney";"PMDB";"PRESIDENTE"
"4795";"Epitácio Cafeteira";"PTB";"NAO VOTOU"
"4795";"José Agripino";"DEM";"NAO"
"4795";"Renan Calheiros";"PMDB";"SIM"
"4795";"Pedro Simon";"PMDB";"SIM"
"4795";"Paulo Paim";"PT";"SIM"
"4795";"Blairo Maggi";"PR";"NAO VOTOU"
"4795";"Romero Jucá";"PMDB";"SIM"
"4795";"Eduardo Suplicy";"PT";"MIS"
"4795";"Itamar Franco";"PPS";"NAO"
"4795";"Eunício Oliveira";"PMDB";"SIM"
"4795";"Armando Monteiro";"PTB";"SIM"
"4795";"Aécio Neves";"PSDB";"NAO"
"4795";"Marisa Serrano";"PSDB";"NAO"
"4795";"Vanessa Grazziotin";"PCdoB";"SIM"
"4795";"Inácio Arruda";"PCdoB";"MIS"
"4795";"José Pimentel";"PT";"SIM"
"4795";"Lúcia Vânia";"PSDB";"NAO"
"4795";"Ciro Nogueira";"PP";"SIM"
"4795";"Casildo Maldaner";"PMDB";"SIM"
"4795";"Roberto Requião";"PMDB";"NAO VOTOU"
"4795";"Gilvam Borges";"PMDB";"NAO VOTOU"
"4795";"Walter Pinheiro";"PT";"SIM"
"4795";"Ricardo Ferraço";"PMDB";"SIM"
"4795";"João Alberto Souza";"PMDB";"NAO VOTOU"
"4795";"Alvaro Dias";"PSDB";"NAO"
"4795";"Maria do Carmo Alves";"DEM";"SIM"
"4795";"Francisco Dornelles";"PP";"SIM"
"4795";"Antonio Carlos Valadares";"PSB";"SIM"
"4795";"Magno Malta";"PR";"SIM"
"4795";"Waldemir Moka";"PMDB";"SIM"
"4795";"Kátia Abreu";"DEM";"NAO"
"4795";"Gim";"PTB";"NAO VOTOU"
"4795";"Lindbergh Farias";"PT";"SIM"
"4795";"Paulo Bauer";"PSDB";"NAO VOTOU"
"4795";"João Ribeiro";"PR";"NAO VOTOU"
"4795";"Aloysio Nunes Ferreira";"PSDB";"NAO"
"4795";"Demóstenes Torres";"DEM";"NAO VOTOU"
"4795";"Valdir Raupp";"PMDB";"SIM"
"4795";"Marcelo Crivella";"PRB";"SIM"
"4795";"Delcídio do Amaral";"PT";"SIM"
"4795";"Vicentinho Alves";"PR";"SIM"
"4795";"João Pedro";"PT";"SIM"
"4795";"Wilson Santiago";"PMDB";"NAO VOTOU"
"4795";"Benedito de Lira";"PP";"SIM"
"4795";"Cristovam Buarque";"PDT";"SIM"
"4795";"Mozarildo Cavalcanti";"PTB";"SIM"
"4795";"Flexa Ribeiro";"PSDB";"NAO"
"4795";"Fernando Collor";"PTB";"SIM"
"4795";"Cícero Lucena";"PSDB";"NAO"
"4795";"Jayme Campos";"DEM";"NAO"
"4795";"João Durval";"PDT";"SIM"
"4795";"Mário Couto";"PSDB";"NAO"
"4795";"João Vicente Claudino";"PTB";"NAO VOTOU"
"4795";"Jarbas Vasconcelos";"PMDB";"NAO"
"4795";"Sérgio Petecão";"PMN";"SIM"
"4795";"Lídice da Mata";"PSB";"SIM"
"4795";"Rodrigo Rollemberg";"PSB";"SIM"
"4795";"Vital do Rêgo";"PMDB";"SIM"
"4795";"Angela Portela";"PT";"SIM"
"4795";"Eduardo Amorim";"PSC";"SIM"
"4795";"Anibal Diniz";"PT";"SIM"
"4795";"Ana Rita";"PT";"SIM"
"4795";"Cyro Miranda";"PSDB";"NAO"
"4795";"Lobão Filho";"PMDB";"NAO VOTOU"
"4795";"Garibaldi Alves";"PMDB";"SIM"
"4795";"Clésio Andrade";"PR";"NAO VOTOU"
"4795";"Marinor Brito";"PSOL";"SIM"
"4795";"Marta Suplicy";"PT";"SIM"
"4795";"Luiz Henrique";"PMDB";"SIM"
"4795";"Ivo Cassol";"PP";"SIM"
"4795";"Gleisi Hoffmann";"PT";"SIM"
"4795";"Humberto Costa";"PT";"SIM"
"4795";"Pedro Taques";"PDT";"SIM"
"4795";"Randolfe Rodrigues";"PSOL";"SIM"
"4795";"Jorge Viana";"PT";"NAO VOTOU"
"4795";"Eduardo Braga";"PMDB";"SIM"
"4795";"Paulo Davim";"PV";"SIM"
"4795";"Acir Gurgacz";"PDT";"SIM"
"4795";"Wellington Dias";"PT";"SIM"
"4795";"Ana Amélia";"PP";"NAO"
"4806";"José Sarney";"PMDB";"PRESIDENTE"
"4806";"Epitácio Cafeteira";"PTB";"NAO"
"4806";"José Agripino";"DEM";"SIM"
"4806";"Renan Calheiros";"PMDB";"NAO"
"4806";"Pedro Simon";"PMDB";"NAO VOTOU"
"4806";"Paulo Paim";"PT";"NAO"
"4806";"Blairo Maggi";"PR";"NAO"
"4806";"Romero Jucá";"PMDB";"NAO"
"4806";"Eduardo Suplicy";"PT";"NAO"
"4806";"Itamar Franco";"PPS";"SIM"
"4806";"Eunício Oliveira";"PMDB";"NAO"
"4806";"Armando Monteiro";"PTB";"NAO"
"4806";"Aécio Neves";"PSDB";"SIM"
"4806";"Marisa Serrano";"PSDB";"SIM"
"4806";"Vanessa Grazziotin";"PCdoB";"NAO"
"4806";"Inácio Arruda";"PCdoB";"NAO"
"4806";"José Pimentel";"PT";"NAO"
"4806";"Lúcia Vânia";"PSDB";"SIM"
"4806";"Ciro Nogueira";"PP";"NAO"
"4806";"Casildo Maldaner";"PMDB";"NAO VOTOU"
"4806";"Roberto Requião";"PMDB";"NAO VOTOU"
"4806";"Gilvam Borges";"PMDB";"NAO"
"4806";"Walter Pinheiro";"PT";"NAO"
"4806";"Ricardo Ferraço";"PMDB";"NAO"
"4806";"João Alberto Souza";"PMDB";"NAO"
"4806";"Alvaro Dias";"PSDB";"SIM"
"4806";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"4806";"Francisco Dornelles";"PP";"NAO"
"4806";"Antonio Carlos Valadares";"PSB";"NAO"
"4806";"Magno Malta";"PR";"NAO"
"4806";"Waldemir Moka";"PMDB";"NAO"
"4806";"Kátia Abreu";"DEM";"NAO VOTOU"
"4806";"Gim";"PTB";"NAO"
"4806";"Lindbergh Farias";"PT";"NAO"
"4806";"Paulo Bauer";"PSDB";"SIM"
"4806";"João Ribeiro";"PR";"NAO"
"4806";"Aloysio Nunes Ferreira";"PSDB";"SIM"
"4806";"Demóstenes Torres";"DEM";"SIM"
"4806";"Valdir Raupp";"PMDB";"NAO"
"4806";"Marcelo Crivella";"PRB";"NAO"
"4806";"Delcídio do Amaral";"PT";"NAO"
"4806";"Vicentinho Alves";"PR";"NAO"
"4806";"João Pedro";"PT";"NAO"
"4806";"Wilson Santiago";"PMDB";"NAO"
"4806";"Benedito de Lira";"PP";"NAO"
"4806";"Cristovam Buarque";"PDT";"NAO VOTOU"
"4806";"Mozarildo Cavalcanti";"PTB";"NAO"
"4806";"Flexa Ribeiro";"PSDB";"SIM"
"4806";"Fernando Collor";"PTB";"NAO"
"4806";"Cícero Lucena";"PSDB";"SIM"
"4806";"Jayme Campos";"DEM";"SIM"
"4806";"João Durval";"PDT";"NAO"
"4806";"Mário Couto";"PSDB";"SIM"
"4806";"João Vicente Claudino";"PTB";"NAO"
"4806";"Jarbas Vasconcelos";"PMDB";"SIM"
"4806";"Sérgio Petecão";"PMN";"NAO"
"4806";"Lídice da Mata";"PSB";"NAO"
"4806";"Rodrigo Rollemberg";"PSB";"NAO"
"4806";"Vital do Rêgo";"PMDB";"NAO"
"4806";"Angela Portela";"PT";"NAO"
"4806";"Eduardo Amorim";"PSC";"NAO"
"4806";"Anibal Diniz";"PT";"NAO"
"4806";"Ana Rita";"PT";"NAO"
"4806";"Cyro Miranda";"PSDB";"NAO VOTOU"
"4806";"Lobão Filho";"PMDB";"NAO"
"4806";"Garibaldi Alves";"PMDB";"NAO"
"4806";"Clésio Andrade";"PR";"NAO"
"4806";"Marinor Brito";"PSOL";"SIM"
"4806";"Marta Suplicy";"PT";"NAO"
"4806";"Luiz Henrique";"PMDB";"NAO VOTOU"
"4806";"Ivo Cassol";"PP";"NAO"
"4806";"Gleisi Hoffmann";"PT";"NAO"
"4806";"Humberto Costa";"PT";"NAO"
"4806";"Pedro Taques";"PDT";"NAO"
"4806";"Randolfe Rodrigues";"PSOL";"SIM"
"4806";"Jorge Viana";"PT";"NAO"
"4806";"Eduardo Braga";"PMDB";"NAO"
"4806";"Paulo Davim";"PV";"NAO"
"4806";"Acir Gurgacz";"PDT";"NAO"
"4806";"Wellington Dias";"PT";"NAO"
"4806";"Ana Amélia";"PP";"SIM"
"4807";"José Sarney";"PMDB";"PRESIDENTE"
"4807";"Epitácio Cafeteira";"PTB";"NAO"
"4807";"José Agripino";"DEM";"SIM"
"4807";"Renan Calheiros";"PMDB";"NAO"
"4807";"Pedro Simon";"PMDB";"NAO VOTOU"
"4807";"Paulo Paim";"PT";"NAO"
"4807";"Blairo Maggi";"PR";"NAO"
"4807";"Romero Jucá";"PMDB";"NAO"
"4807";"Eduardo Suplicy";"PT";"NAO"
"4807";"Itamar Franco";"PPS";"SIM"
"4807";"Eunício Oliveira";"PMDB";"NAO"
"4807";"Armando Monteiro";"PTB";"NAO"
"4807";"Aécio Neves";"PSDB";"SIM"
"4807";"Marisa Serrano";"PSDB";"SIM"
"4807";"Vanessa Grazziotin";"PCdoB";"NAO"
"4807";"Inácio Arruda";"PCdoB";"NAO"
"4807";"José Pimentel";"PT";"NAO"
"4807";"Lúcia Vânia";"PSDB";"SIM"
"4807";"Ciro Nogueira";"PP";"NAO"
"4807";"Casildo Maldaner";"PMDB";"NAO VOTOU"
"4807";"Roberto Requião";"PMDB";"SIM"
"4807";"Gilvam Borges";"PMDB";"NAO"
"4807";"Walter Pinheiro";"PT";"NAO"
"4807";"Ricardo Ferraço";"PMDB";"NAO"
"4807";"João Alberto Souza";"PMDB";"NAO"
"4807";"Alvaro Dias";"PSDB";"SIM"
"4807";"Maria do Carmo Alves";"DEM";"NAO VOTOU"
"4807";"Francisco Dornelles";"PP";"NAO"
"4807";"Antonio Carlos Valadares";"PSB";"NAO"
"4807";"Magno Malta";"PR";"NAO"
"4807";"Waldemir Moka";"PMDB";"NAO"
"4807";"Kátia Abreu";"DEM";"NAO VOTOU"
"4807";"Gim";"PTB";"NAO"
"4807";"Lindbergh Farias";"PT";"NAO"
"4807";"Paulo Bauer";"PSDB";"SIM"
"4807";"João Ribeiro";"PR";"NAO"
"4807";"Aloysio Nunes Ferreira";"PSDB";"SIM"
"4807";"Demóstenes Torres";"DEM";"SIM"
"4807";"Valdir Raupp";"PMDB";"NAO"
"4807";"Marcelo Crivella";"PRB";"NAO"
"4807";"Delcídio do Amaral";"PT";"NAO"
"4807";"Vicentinho Alves";"PR";"NAO"
"4807";"João Pedro";"PT";"NAO"
"4807";"Wilson Santiago";"PMDB";"NAO"
"4807";"Benedito de Lira";"PP";"NAO"
"4807";"Cristovam Buarque";"PDT";"NAO VOTOU"
"4807";"Mozarildo Cavalcanti";"PTB";"NAO"
"4807";"Flexa Ribeiro";"PSDB";"SIM"
"4807";"Fernando Collor";"PTB";"NAO"
"4807";"Cícero Lucena";"PSDB";"SIM"
"4807";"Jayme Campos";"DEM";"SIM"
"4807";"João Durval";"PDT";"NAO"
"4807";"Mário Couto";"PSDB";"SIM"
"4807";"João Vicente Claudino";"PTB";"NAO"
"4807";"Jarbas Vasconcelos";"PMDB";"SIM"
"4807";"Sérgio Petecão";"PMN";"NAO"
"4807";"Lídice da Mata";"PSB";"NAO"
"4807";"Rodrigo Rollemberg";"PSB";"NAO"
"4807";"Vital do Rêgo";"PMDB";"NAO"
"4807";"Angela Portela";"PT";"NAO"
"4807";"Eduardo Amorim";"PSC";"NAO"
"4807";"Anibal Diniz";"PT";"NAO"
"4807";"Ana Rita";"PT";"NAO"
"4807";"Cyro Miranda";"PSDB";"NAO VOTOU"
"4807";"Lobão Filho";"PMDB";"NAO"
"4807";"Garibaldi Alves";"PMDB";"NAO"
"4807";"Clésio Andrade";"PR";"NAO"
"4807";"Marinor Brito";"PSOL";"SIM"
"4807";"Marta Suplicy";"PT";"NAO"
"4807";"Luiz Henrique";"PMDB";"NAO VOTOU"
"4807";"Ivo Cassol";"PP";"NAO"
"4807";"Gleisi Hoffmann";"PT";"NAO"
"4807";"Humberto Costa";"PT";"NAO"
"4807";"Pedro Taques";"PDT";"SIM"
"4807";"Randolfe Rodrigues";"PSOL";"SIM"
"4807";"Jorge Viana";"PT";"NAO"
"4807";"Eduardo Braga";"PMDB";"NAO"
"4807";"Paulo Davim";"PV";"NAO"
"4807";"Acir Gurgacz";"PDT";"NAO"
"4807";"Wellington Dias";"PT";"NAO"
"4807";"Ana Amélia";"PP";"SIM"
"4808";"José Sarney";"PMDB";"PRESIDENTE"
"4808";"Epitácio Cafeteira";"PTB";"NAO"
"4808";"José Agripino";"DEM";"SIM"
"4808";"Renan Calheiros";"PMDB";"NAO"
"4808";"Pedro Simon";"PMDB";"NAO VOTOU"
"4808";"Paulo Paim";"PT";"NAO"
"4808";"Blairo Maggi";"PR";"NAO"
"4808";"Romero Jucá";"PMDB";"NAO"
