ID_VOTACAO;POLITICO;PARTIDO;VOTO
S11001;Acir Gurgacz;PDT;SIM
S11001;Aecio Neves;PSDB;NAO
S11001;Aloysio Nunes Ferreira;PSDB;NAO
S11001;Alvaro Dias;PSDB;NAO
S11001;Ana Amelia;PP;NAO
S11001;Ana Rita;PT;SIM
S11001;Angela Portela;PT;SIM
S11001;Anibal Diniz;PT;SIM
S11001;Antonio Carlos Valadares;PSB;SIM
S11001;Armando Monteiro;PTB;SIM
S11001;Benedito de Lira;PP;SIM
S11001;Blairo Maggi;PR;NAO VOTOU
S11001;Casildo Maldaner;PMDB;SIM
S11001;Cicero Lucena;PSDB;NAO
S11001;Ciro Nogueira;PP;SIM
S11001;Clesio Andrade;PR;NAO VOTOU
S11001;Cristovam Buarque;PDT;SIM
S11001;Cyro Miranda;PSDB;NAO
S11001;Delcidio do Amaral;PT;SIM
S11001;Demostenes Torres;DEM;NAO VOTOU
S11001;Eduardo Amorim;PSC;SIM
S11001;Eduardo Braga;PMDB;SIM
S11001;Eduardo Suplicy;PT;NAO VOTOU
S11001;Epitacio Cafeteira;PTB;NAO VOTOU
S11001;Eunicio Oliveira;PMDB;SIM
S11001;Fernando Collor;PTB;SIM
S11001;Flexa Ribeiro;PSDB;NAO
S11001;Francisco Dornelles;PP;SIM
S11001;Garibaldi Alves;PMDB;SIM
S11001;Gilvam Borges;PMDB;NAO VOTOU
S11001;Gim Argello;PTB;NAO VOTOU
S11001;Gleisi Hoffmann;PT;SIM
S11001;Humberto Costa;PT;SIM
S11001;Inacio Arruda;PCdoB;NAO VOTOU
S11001;Itamar Franco;PPS;NAO
S11001;Ivo Cassol;PP;SIM
S11001;Jarbas Vasconcelos;PMDB;NAO
S11001;Jayme Campos;DEM;NAO
S11001;Joao Alberto Souza;PMDB;NAO VOTOU
S11001;Joao Durval;PDT;SIM
S11001;Joao Pedro;PT;SIM
S11001;Joao Ribeiro;PR;NAO VOTOU
S11001;Joao Vicente Claudino;PTB;NAO VOTOU
S11001;Jorge Viana;PT;NAO VOTOU
S11001;Jose Agripino;DEM;NAO
S11001;Jose Pimentel;PT;SIM
S11001;Jose Sarney;PMDB;PRESIDENTE
S11001;Katia Abreu;DEM;NAO
S11001;Lidice da Mata;PSB;SIM
S11001;Lindbergh Farias;PT;SIM
S11001;Lobao Filho;PMDB;NAO VOTOU
S11001;Lucia Vania;PSDB;NAO
S11001;Luiz Henrique;PMDB;SIM
S11001;Magno Malta;PR;SIM
S11001;Marcelo Crivella;PRB;SIM
S11001;Maria do Carmo Alves;DEM;SIM
S11001;Marinor Brito;PSOL;SIM
S11001;Mario Couto;PSDB;NAO
S11001;Marisa Serrano;PSDB;NAO
S11001;Marta Suplicy;PT;SIM
S11001;Mozarildo Cavalcanti;PTB;SIM
S11001;Paulo Bauer;PSDB;NAO VOTOU
S11001;Paulo Davim;PV;SIM
S11001;Paulo Paim;PT;SIM
S11001;Pedro Simon;PMDB;SIM
S11001;Pedro Taques;PDT;SIM
S11001;Randolfe Rodrigues;PSOL;SIM
S11001;Renan Calheiros;PMDB;SIM
