"id","nome","partido"
"531071","ANTONIO DA CONCEIÇÃO COSTA FERREIRA","PSC"
"520939","JOSÉ SARNEY FILHO","PV"
"522008","JOSÉ FRANCISCO PAES LANDIM","PTB"
"522840","HENRIQUE EDUARDO LYRA ALVES","PMDB"
"521856","INOCÊNCIO GOMES DE OLIVEIRA","PR"
"530195","ROBERTO JOÃO PEREIRA FREIRE","PPS"
"524918","SÉRGIO LUÍS LACERDA BRITO","PSD"
"520730","ROSILDA DE FREITAS","PMDB"
"522534","AROLDE DE OLIVEIRA","PSD"
"530131","BENEDITA SOUZA DA SILVA SAMPAIO","PT"
"522296","MIRO TEIXEIRA","PROS"
"522258","SIMÃO SESSIM","PP"
"5829180","HUMBERTO GUIMARÃES SOUTO","PPS"
"521230","LAEL VIEIRA VARELLA","DEM"
"520737","ROBERTO EGÍDIO BALESTRA","PP"
"530897","AUGUSTO SILVEIRA DE CARVALHO","SDD"
"521528","WELLINGTON ANTONIO FAGUNDES","PR"
"530170","LUCI TERESINHA KOSWOSKI CHOINACKI","PT"
"520172","ÁTILA SIDNEY LINS ALBUQUERQUE","PSD"
"530011","PAUDERNEY TOMAZ AVELINO","DEM"
"524709","FÁTIMA LÚCIA PELAES","PMDB"
"5829194","OSVALDO DE SOUZA REIS","PMDB"
"520901","PEDRO NOVAIS LIMA","PMDB"
"520409","JOSÉ LINHARES PONTE","PP"
"530039","EDSON SILVA","PROS"
"520520","FRANCISCO ARIOSTO HOLANDA","PROS"
"530109","SEVERINO SÉRGIO ESTELITA GUERRA","PSDB"
"524876","MARCOS ANTONIO MEDRADO","SDD"
"520831","RONALDO RAMOS CAIADO","DEM"
"522230","LUIZ CARLOS JORGE HAULY","PSDB"
"521241","ARACELY DE PAULA","PR"
"528887","PAULO ROBERTO GOMES MANSUR","PRB"
"530146","JANDIRA FEGHALI","PCdoB"
"522255","JAIR MESSIAS BOLSONARO","PP"
"523597","NELSON MARQUEZELLI","PTB"
"528578","JORGE TADEU MUDALEN","DEM"
"526179","GIOVANNI CORRÊA QUEIROZ","PDT"
"533129","VALDIR COLATTO","PMDB"
"530055","VILMAR DA SILVA ROCHA","PSD"
"523023","LUCIANO DE SOUZA CASTRO","PR"
"520403","JUTAHY MAGALHÃES JÚNIOR","PSDB"
"531197","BONIFÁCIO JOSÉ TAMM DE ANDRADA","PSDB"
"524132","ANTONIO CARLOS DE MENDES THAME","PSDB"
"523606","ARNALDO FARIA DE SÁ","PTB"
"530121","RUBENS BUENO","PPS"
"5829210","FERNANDO LOPES DE ALMEIDA","PMDB"
"522187","ABELARDO LUIZ LUPION MELLO","DEM"
"530087","JÚLIO JOSÉ DE CAMPOS","DEM"
"520437","CARLOS MAURO CABRAL BENEVIDES","PMDB"
"530115","HUGO NAPOLEÃO DO REGO NETO","PSD"
"521603","ASDRÚBAL MENDES BENTES","PMDB"
"521901","LUIZ GONZAGA PATRIOTA","PSB"
"528890","PAULO SALIM MALUF","PP"
"526056","CARLOS GOMES BEZERRA","PMDB"
"530169","ESPERIDIÃO AMIN HELOU FILHO","PP"
"530071","NEWTON CARDOSO","PMDB"
"522014","JÚLIO CÉSAR DE CARVALHO LIMA","PSD"
"5829223","SILAS BRASILEIRO","PMDB"
"522040","NELSON MEURER","PP"
"522608","EDSON EZEQUIEL DE MATOS","PMDB"
"521130","JOSÉ SARAIVA FELIPE","PMDB"
"520340","CLÁUDIO CAJADO SAMPAIO","DEM"
"526158","ELCIONE THEREZINHA ZAHLUTH BARBALHO","PMDB"
