"bancada","01/01/1999-30/06/1999","01/07/1999-31/12/1999","01/01/2000-30/06/2000","01/07/2000-31/12/2000","01/01/2001-30/06/2001","01/07/2001-31/12/2001","01/01/2002-30/06/2002","01/07/2002-31/12/2002","01/01/2003-30/06/2003","01/07/2003-31/12/2003","01/01/2004-30/06/2004","01/07/2004-31/12/2004","01/01/2005-30/06/2005","01/07/2005-31/12/2005","01/01/2006-30/06/2006","01/07/2006-31/12/2006","01/01/2007-30/06/2007","01/07/2007-31/12/2007","01/01/2008-30/06/2008","01/07/2008-31/12/2008","01/01/2009-30/06/2009","01/07/2009-31/12/2009","01/01/2010-30/06/2010","01/07/2010-31/12/2010","01/01/2011-30/06/2011","01/07/2011-31/12/2011","01/01/2012-30/06/2012","01/07/2012-31/12/2012","01/01/2013-30/06/2013","01/07/2013-31/12/2013"
"PPS","32.142857142857146","51.111111111111114","58.16326530612245","70.58823529411765","35.55555555555556","69.6969696969697","28.571428571428573","85.71428571428571","100.0","94.23076923076923","91.80327868852459","86.66666666666667","45.945945945945944","46.875","63.41463414634146","76.19047619047619","36.36363636363637","13.88888888888889","14.473684210526315","33.92857142857143","37.28813559322034","41.0958904109589","48.648648648648646","71.42857142857143","18.181818181818183","18.0","65.38461538461539","23.214285714285715","27.142857142857142","60.0"
"MAIORIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","0"
"PSOL","0","0","0","0","0","0","0","0","0","0","0","0","0","55.0","60.0","65.0","67.12328767123287","29.906542056074766","50.666666666666664","67.24137931034483","65.51724137931035","52.054794520547944","70.27027027027027","50.0","27.272727272727273","20.0","57.69230769230769","78.57142857142857","42.857142857142854","75.55555555555556"
"PMDB","96.66666666666667","93.33333333333333","96.93877551020408","88.23529411764706","93.47826086956522","91.17647058823529","100.0","100.0","90.625","97.14285714285714","95.16129032258064","68.18181818181819","78.37837837837837","68.75","87.8048780487805","95.23809523809524","93.50649350649351","91.66666666666667","94.8051948051948","94.82758620689656","86.44067796610169","89.04109589041096","91.89189189189189","100.0","93.93939393939394","92.0","88.46153846153847","91.07142857142857","61.42857142857143","75.55555555555556"
"PRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.96969696969697","76.0","65.38461538461539","42.857142857142854","77.14285714285714","86.66666666666667"
"APOIO AO GOVERNO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0","0"
"PPB","98.33333333333333","91.11111111111111","96.93877551020408","88.23529411764706","97.82608695652173","97.05882352941177","100.0","85.71428571428571","54.166666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PRONA","100.0","0","0","0","0","0","0","0","46.15384615384615","19.0","9.433962264150944","7.6923076923076925","15.151515151515152","48.275862068965516","43.333333333333336","83.33333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PRB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.3225806451613","90.74074074074075","84.41558441558442","87.93103448275862","76.27118644067797","83.56164383561644","83.78378378378379","92.85714285714286","96.96969696969697","84.0","88.46153846153847","90.74074074074075","78.57142857142857","82.22222222222223"
"SDD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.5"
"MINORIA","0","0","0","0","0","0","0","0","0","0","21.05263157894737","18.181818181818183","27.272727272727273","25.925925925925927","40.0","83.33333333333333","24.285714285714285","8.791208791208792","12.698412698412698","25.806451612903224","36.666666666666664","61.904761904761905","50.0","75.0","15.625","10.416666666666666","50.0","14.634146341463415","25.0","54.76190476190476"
"PDT","35.0","35.55555555555556","44.89795918367347","76.47058823529412","35.55555555555556","69.6969696969697","28.571428571428573","85.71428571428571","93.75","95.23809523809524","85.24590163934427","75.55555555555556","43.24324324324324","50.0","58.53658536585366","76.19047619047619","92.10526315789474","90.74074074074075","84.41558441558442","87.93103448275862","76.27118644067797","79.45205479452055","75.67567567567568","92.85714285714286","84.84848484848484","82.0","80.76923076923077","83.92857142857143","77.14285714285714","71.11111111111111"
"PHS","0","92.85714285714286","94.73684210526316","87.5","100.0","100.0","0","100.0","0","0","0","0","0","0","0","0","91.89189189189189","90.65420560747664","95.65217391304348","92.3076923076923","100.0","100.0","81.81818181818181","87.5","96.96969696969697","76.0","65.38461538461539","42.857142857142854","77.14285714285714","83.33333333333333"
"DEM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.586206896551722","12.037037037037036","10.38961038961039","22.413793103448278","27.11864406779661","27.397260273972602","43.24324324324324","57.142857142857146","15.151515151515152","12.0","53.84615384615385","21.428571428571427","28.571428571428573","53.333333333333336"
"PROS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.76923076923077"
"PT","30.0","42.22222222222222","50.0","64.70588235294117","34.78260869565217","76.47058823529412","50.0","100.0","100.0","97.14285714285714","95.16129032258064","100.0","94.5945945945946","87.5","97.5609756097561","90.47619047619048","100.0","95.37037037037037","94.8051948051948","96.55172413793103","93.22033898305085","97.26027397260275","89.1891891891892","100.0","96.96969696969697","96.0","100.0","96.42857142857143","92.85714285714286","95.55555555555556"
"PFL","98.33333333333333","93.33333333333333","100.0","100.0","97.82608695652173","97.05882352941177","95.45454545454545","71.42857142857143","43.75","20.0","14.516129032258064","17.77777777777778","27.027027027027028","28.125","29.26829268292683","80.95238095238095","4.166666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PST","75.55555555555556","48.83720930232558","72.44897959183673","82.3529411764706","97.77777777777777","97.05882352941177","100.0","100.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PMN","75.55555555555556","18.181818181818183","0","0","0","0","0","0","100.0","100.0","0","0","0","0","0","0","92.10526315789474","90.74074074074075","84.41558441558442","87.93103448275862","76.27118644067797","83.56164383561644","83.78378378378379","100.0","73.91304347826087","100.0","84.21052631578948","100.0","74.50980392156863","73.17073170731707"
"PSL","75.55555555555556","48.83720930232558","59.183673469387756","58.8235294117647","51.111111111111114","73.52941176470588","50.0","85.71428571428571","0","92.70833333333333","96.7741935483871","79.54545454545455","75.67567567567568","100.0","0","0","0","0","0","0","0","0","0","0","96.96969696969697","76.0","65.38461538461539","42.857142857142854","77.14285714285714","78.94736842105263"
"PSDC","0","0","0","0","0","77.77777777777777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PSDB","98.33333333333333","93.33333333333333","98.9795918367347","100.0","100.0","97.05882352941177","100.0","100.0","50.0","37.142857142857146","16.129032258064516","24.444444444444443","29.72972972972973","34.375","36.58536585365854","85.71428571428571","35.064935064935064","11.11111111111111","11.688311688311689","25.862068965517242","35.59322033898305","38.35616438356164","43.24324324324324","64.28571428571429","15.151515151515152","18.0","50.0","25.0","24.285714285714285","71.11111111111111"
"SOLIDARIED","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0"
"PSD","73.91304347826087","18.181818181818183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.10344827586206","72.0","78.57142857142857","55.714285714285715","71.11111111111111"
"PSB","38.59649122807018","31.11111111111111","50.0","70.58823529411765","34.78260869565217","70.58823529411765","22.727272727272727","71.42857142857143","96.875","97.11538461538461","96.72131147540983","97.77777777777777","91.89189189189189","87.5","97.5609756097561","95.23809523809524","92.10526315789474","90.74074074074075","84.41558441558442","87.93103448275862","76.27118644067797","83.56164383561644","83.78378378378379","92.85714285714286","93.93939393939394","88.0","84.61538461538461","92.85714285714286","77.14285714285714","73.33333333333333"
"PSC","0","0","0","0","0","0","0","0","0","93.75","92.85714285714286","95.0","0","93.75","87.5","100.0","93.50649350649351","91.66666666666667","89.47368421052632","89.79591836734694","75.43859649122807","69.56521739130434","81.08108108108108","83.33333333333333","87.87878787878788","87.75510204081633","73.07692307692308","66.07142857142857","71.01449275362319","73.33333333333333"
"PCDOB","38.333333333333336","31.11111111111111","50.0","70.58823529411765","34.78260869565217","70.58823529411765","22.727272727272727","71.42857142857143","100.0","96.11650485436893","95.0","97.61904761904762","75.67567567567568","87.5","90.2439024390244","78.94736842105263","94.20289855072464","0","0","0","0","0","0","92.3076923076923","93.93939393939394","88.0","84.61538461538461","96.42857142857143","87.14285714285714","97.77777777777777"
"PTC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.85714285714286","100.0","92.53731343283582","91.66666666666667","94.8051948051948","94.82758620689656","88.23529411764706","89.04109589041096","91.89189189189189","100.0","96.96969696969697","76.0","65.38461538461539","42.857142857142854","76.11940298507463","0"
